iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ALB,Asia,Andorra,2020-08-05,6817,189,293.571,1632.0,14.0,0.286,0.023,25.837,244.78,0.745,0.114,0.154,,,,,,,,,,,,,,,,,,,,,,,,62.96,2877800,54.422,38.0,,3.857,11803.431,1.1,304.195,6.73,,,37.746,0.5,78.57,0.498
ALB,Europe,Albania,2020-07-25,39239,783,191.0,1136.0,13.0,8.571,809.646,95.559,173.247,36.464,,1.44,1.17,,,,,,,,,,,,,,,,,,,,,,,76.85,43851043,17.348,29.1,6.211,8.643,1803.987,,597.029,6.73,0.7,30.4,83.741,2.89,76.88,0.498
AND,Asia,Andorra,2020-10-20,13662,186,165.714,79.0,12.0,8.857,17595.733,3.421,4.257,26.409,0.114,0.231,,,,,,,,,,,,,,,,,,,,,,,,78.7,2877800,104.871,38.0,6.211,3.857,1803.987,1.1,109.135,10.08,0.7,,83.741,1.9,76.88,0.754
ALB,Europe,Albania,2020-10-13,1,11,6.714,,3.0,1.857,1094.774,1.695,5.317,9.273,0.182,0.04,0.99,,,,,,,,,,,,,,,,,,,,,,,12.04,38928341,54.422,18.6,6.211,8.643,11803.431,,278.364,10.08,7.1,30.4,83.741,0.5,78.57,0.785
AFG,Asia,Albania,2020-12-30,15208,597,571.714,811.0,10.0,8.286,14937.8,6.95,243.291,162.972,0.206,1.837,0.72,,,,,,,,,,,,,,,,,,,,,,,21.3,2877800,104.871,18.6,6.211,1.337,1803.987,1.1,597.029,6.73,0.7,,37.746,1.9,64.83,0.754
ALB,Asia,Afghanistan,2020-07-01,72755,422,19.857,1443.0,,7.714,1054.039,6.933,50.386,7.655,,0.202,0.84,,,,,,,,,,,,,,,,,,,,,,,89.81,38928341,54.422,18.6,6.211,3.857,11803.431,,278.364,9.59,,30.4,83.741,2.89,78.57,0.785
DZA,Asia,Andorra,2020-07-27,35279,953,534.714,1370.0,8.0,9.286,134.341,146.64,12.038,0.925,0.16,0.218,,,,,,,,,,,,,,,,,,,,,,,,72.22,43851043,104.871,38.0,6.211,3.857,1803.987,1.1,597.029,6.73,,,,2.89,78.57,0.498
DZA,Europe,Albania,2020-03-17,11176,67,132.286,1055.0,4.0,0.286,2046.355,0.695,4.659,15.289,0.719,0.389,0.85,,,,,,,,,,,,,,,,,,,,,,,12.04,43851043,54.422,38.0,2.581,3.857,13913.839,0.5,304.195,10.08,0.7,30.4,37.746,0.5,78.57,0.498
AND,Asia,Andorra,2020-04-09,9195,89,201.429,31.0,0.0,0.429,55.141,21.197,4.672,37.376,0.114,3.425,1.28,,,,,,,,,,,,,,,,,,,,,,,65.74,38928341,17.348,18.6,2.581,8.643,1803.987,0.5,304.195,6.73,,,83.741,1.9,76.88,0.754
DZA,Asia,Afghanistan,2020-03-17,475,87,656.286,1.0,5.0,8.571,1388.757,8.888,5.758,7.936,1.39,0.202,1.37,,,,,,,,,,,,,,,,,,,,,,,78.7,2877800,104.871,18.6,6.211,1.337,11803.431,1.1,304.195,9.59,0.7,51.2,37.746,0.5,78.57,0.754
AFG,Europe,Albania,2020-06-23,51405,4,103.571,,,4.286,262.343,1.105,1.31,116.061,0.091,0.316,0.58,,,,,,,,,,,,,,,,,,,,,,,38.89,2877800,54.422,38.0,2.581,1.337,11803.431,1.1,278.364,9.59,29.0,51.2,83.741,2.89,78.57,0.754
ALB,Asia,Afghanistan,2020-12-15,38716,125,419.286,767.0,1.0,2.143,2340.674,1.182,6.999,10.604,0.103,0.007,0.75,,,,,,,,,,,,,,,,,,,,,,,65.74,38928341,17.348,38.0,2.581,8.643,11803.431,0.5,278.364,6.73,0.7,51.2,83.741,2.89,83.73,0.785
DZA,Asia,Afghanistan,2020-10-21,51213,59,184.143,1186.0,,0.429,96.254,46.216,2.323,11.562,1.042,0.427,0.75,,,,,,,,,,,,,,,,,,,,,,,21.3,2877800,54.422,18.6,6.211,8.643,13913.839,1.1,278.364,10.08,,51.2,,0.5,76.88,0.754
ALB,Asia,Andorra,2020-07-16,1995,546,136.429,1310.0,6.0,8.429,373.199,104.594,0.011,1.003,0.128,0.114,,,,,,,,,,,,,,,,,,,,,,,,65.74,2877800,104.871,38.0,6.211,8.643,11803.431,,278.364,10.08,0.7,,,0.5,76.88,0.785
AND,Asia,Albania,2020-12-01,35717,1005,132.429,,14.0,11.429,757.058,38.147,2.733,36.94,0.347,0.059,1.12,,,,,,,,,,,,,,,,,,,,,,,54.63,38928341,163.755,18.6,13.188,3.857,11803.431,0.5,278.364,9.59,7.1,30.4,37.746,0.5,64.83,0.754
ALB,Asia,Afghanistan,2020-05-01,44706,0,296.857,1074.0,6.0,6.714,2564.459,278.338,2.352,224.477,0.228,0.169,0.98,,,,,,,,,,,,,,,,,,,,,,,86.57,2877800,104.871,29.1,13.188,1.337,13913.839,0.5,109.135,9.59,7.1,30.4,83.741,1.9,78.57,0.498
DZA,Asia,Andorra,2020-05-22,50013,0,299.286,400.0,0.0,7.857,2152.081,61.853,1.306,149.072,0.154,0.026,1.18,,,,,,,,,,,,,,,,,,,,,,,62.96,38928341,104.871,18.6,2.581,8.643,13913.839,,597.029,7.97,7.1,30.4,37.746,2.89,78.57,0.754
ALB,Africa,Afghanistan,2020-11-20,39847,477,288.714,81.0,12.0,0.286,791.156,0.848,6.553,29.536,0.0,0.199,0.94,,,,,,,,,,,,,,,,,,,,,,,68.52,2877800,54.422,38.0,2.581,1.337,1803.987,,304.195,6.73,7.1,51.2,83.741,1.9,64.83,0.754
DZA,Africa,Afghanistan,2020-08-28,62693,117,179.429,235.0,0.0,,1140.748,19.407,1.817,18.494,0.308,3.624,0.96,,,,,,,,,,,,,,,,,,,,,,,57.41,38928341,17.348,18.6,6.211,1.337,11803.431,0.5,304.195,10.08,0.7,,37.746,0.5,78.57,0.754
DZA,Asia,Albania,2020-11-20,34,25,12.429,34.0,12.0,9.571,998.553,14.026,3.443,10.772,0.0,0.248,,,,,,,,,,,,,,,,,,,,,,,,78.7,43851043,104.871,18.6,13.188,8.643,1803.987,,597.029,6.73,0.7,30.4,,1.9,78.57,0.754
ALB,Europe,Afghanistan,2020-06-14,10704,17,694.857,437.0,0.0,24.429,463.852,1.747,0.011,0.57,0.0,0.0,1.41,,,,,,,,,,,,,,,,,,,,,,,72.22,43851043,17.348,29.1,6.211,1.337,11803.431,,597.029,10.08,7.1,51.2,83.741,1.9,76.88,0.785
ALB,Europe,Albania,2020-10-17,10589,737,547.429,274.0,4.0,5.571,3463.41,55.251,4.105,,0.0,0.199,1.07,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341,54.422,18.6,13.188,8.643,1803.987,,278.364,9.59,,,,2.89,78.57,0.754
ALB,Asia,Afghanistan,2020-05-27,39297,157,12.0,502.0,11.0,10.429,0.388,50.038,20.759,186.253,0.114,1.191,1.46,,,,,,,,,,,,,,,,,,,,,,,68.52,43851043,104.871,38.0,13.188,3.857,11803.431,1.1,278.364,10.08,,30.4,83.741,2.89,78.57,0.754
ALB,Asia,Andorra,2020-10-11,47306,61,159.857,225.0,8.0,8.571,13074.223,57.335,8.141,10.772,,2.78,1.44,,,,,,,,,,,,,,,,,,,,,,,89.81,38928341,104.871,29.1,13.188,1.337,13913.839,1.1,304.195,9.59,0.7,51.2,,0.5,78.57,0.498
DZA,Asia,Andorra,2020-10-19,803,157,54.429,1612.0,5.0,8.571,21.604,44.131,10.021,49.121,0.296,0.037,1.01,,,,,,,,,,,,,,,,,,,,,,,65.74,38928341,17.348,29.1,2.581,3.857,13913.839,,278.364,9.59,7.1,30.4,83.741,2.89,78.57,0.754
AND,Africa,Albania,2020-04-25,37944,325,663.143,1698.0,10.0,1.429,461.015,16.055,42.046,2.672,0.051,0.179,0.84,,,,,,,,,,,,,,,,,,,,,,,0.0,38928341,17.348,38.0,6.211,3.857,1803.987,1.1,304.195,9.59,,51.2,,1.9,64.83,0.754
ALB,Asia,Andorra,2020-07-29,55357,580,174.0,548.0,2.0,3.429,6341.65,273.473,5.769,431.232,,0.389,1.08,,,,,,,,,,,,,,,,,,,,,,,12.04,38928341,54.422,29.1,6.211,8.643,11803.431,0.5,278.364,10.08,0.7,51.2,,2.89,76.88,0.498
DZA,Asia,Afghanistan,2020-09-20,69591,14,129.714,1538.0,10.0,12.286,82.845,4.517,0.228,0.848,0.539,0.0,1.07,,,,,,,,,,,,,,,,,,,,,,,79.63,43851043,17.348,38.0,13.188,8.643,1803.987,,597.029,10.08,7.1,51.2,,2.89,64.83,0.754
ALB,Asia,Afghanistan,2020-09-18,3848,0,269.429,2.0,1.0,,2319.828,256.098,103.154,1.028,0.077,0.147,1.38,,,,,,,,,,,,,,,,,,,,,,,57.41,38928341,54.422,29.1,13.188,3.857,1803.987,0.5,304.195,9.59,7.1,,37.746,2.89,78.57,0.754
DZA,Asia,Andorra,2020-12-10,57727,0,158.0,31.0,1.0,0.0,6656.821,4.517,162.872,,0.114,0.374,1.16,,,,,,,,,,,,,,,,,,,,,,,54.63,38928341,54.422,29.1,6.211,8.643,1803.987,,597.029,7.97,7.1,,,0.5,76.88,0.785
ALB,Asia,Afghanistan,2020-05-14,53998,237,144.286,30.0,36.0,12.0,15440.962,106.331,159.497,40.934,0.051,0.092,0.94,,,,,,,,,,,,,,,,,,,,,,,41.67,38928341,17.348,38.0,2.581,3.857,11803.431,0.5,597.029,9.59,7.1,,37.746,1.9,78.57,0.498
DZA,Asia,Algeria,2020-05-18,43035,17,209.714,2048.0,7.0,3.571,1504.525,0.0,0.991,92.432,0.182,1.191,1.22,,,,,,,,,,,,,,,,,,,,,,,76.85,2877800,104.871,29.1,6.211,3.857,,,278.364,6.73,0.7,51.2,,1.9,76.88,0.785
AND,Asia,Albania,2020-10-01,18712,411,682.143,1402.0,5.0,14.286,1707.189,273.82,0.0,0.091,1.39,0.496,0.89,,,,,,,,,,,,,,,,,,,,,,,9.26,38928341,17.348,18.6,2.581,1.337,11803.431,1.1,304.195,10.08,0.7,30.4,83.741,1.9,78.57,0.498
DZA,Europe,Andorra,2020-05-23,75,59,0.0,306.0,8.0,6.0,47.205,0.023,6.584,18.417,1.042,0.455,0.91,,,,,,,,,,,,,,,,,,,,,,,12.04,2877800,17.348,18.6,6.211,8.643,13913.839,1.1,304.195,6.73,,,,1.9,64.83,0.498
ALB,Europe,Afghanistan,2020-07-29,2,156,323.143,,0.0,5.0,2025.607,2.668,0.422,15.336,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341,17.348,18.6,2.581,8.643,1803.987,1.1,278.364,9.59,7.1,30.4,37.746,0.5,78.57,0.754
ALB,Asia,Algeria,2020-11-22,93065,171,79.143,,7.0,2.143,957.143,2.029,1.01,16.51,0.137,0.023,0.98,,,,,,,,,,,,,,,,,,,,,,,76.85,43851043,17.348,18.6,2.581,3.857,11803.431,0.5,304.195,6.73,7.1,,37.746,2.89,78.57,0.498
AND,Asia,Albania,2020-07-04,40937,143,303.0,157.0,5.0,0.143,954.395,23.629,173.198,228.299,1.042,0.189,0.85,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341,17.348,38.0,2.581,1.337,11803.431,0.5,597.029,6.73,0.7,30.4,83.741,0.5,78.57,0.498
ALB,Asia,Afghanistan,2020-07-05,1572,414,9.714,1271.0,5.0,0.286,12.942,14.64,5.808,116.061,0.0,0.092,1.03,,,,,,,,,,,,,,,,,,,,,,,68.52,38928341,17.348,29.1,6.211,3.857,13913.839,1.1,597.029,9.59,7.1,30.4,37.746,1.9,78.57,0.754
DZA,Europe,Afghanistan,2020-11-17,300,221,316.0,,,20.286,6656.821,6.242,12.67,9.966,0.251,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,87.96,2877800,17.348,29.1,2.581,1.337,13913.839,0.5,278.364,9.59,0.7,30.4,83.741,0.5,64.83,0.754
DZA,Europe,Afghanistan,2020-11-10,12535,273,81.143,1518.0,14.0,7.857,1008.725,12.839,5.769,219.265,0.103,0.011,,,,,,,,,,,,,,,,,,,,,,,,60.19,43851043,54.422,18.6,2.581,1.337,1803.987,0.5,597.029,10.08,0.7,,,0.5,76.88,0.498
DZA,Europe,Albania,2020-06-08,1464,13,113.714,,9.0,8.571,740.771,1.695,5.379,219.265,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,12.04,2877800,54.422,18.6,6.211,1.337,13913.839,1.1,109.135,9.59,7.1,30.4,,1.9,76.88,0.754
AND,Africa,Afghanistan,2020-03-05,39799,844,187.143,2803.0,10.0,0.0,0.617,3.211,7.545,47.023,0.695,0.081,1.26,,,,,,,,,,,,,,,,,,,,,,,71.3,38928341,17.348,29.1,6.211,3.857,11803.431,,597.029,10.08,7.1,30.4,,0.5,78.57,0.785
ALB,Asia,Afghanistan,2020-07-06,100873,99,9.286,2255.0,4.0,9.571,395.093,35.096,47.804,0.257,,0.274,,,,,,,,,,,,,,,,,,,,,,,,62.96,43851043,17.348,29.1,13.188,1.337,11803.431,0.5,304.195,10.08,7.1,30.4,37.746,0.5,78.57,0.785
ALB,Asia,Algeria,2020-02-27,46653,116,125.0,1469.0,18.0,8.714,3337.967,52.818,0.13,36.657,0.274,0.048,1.17,,,,,,,,,,,,,,,,,,,,,,,72.22,43851043,104.871,18.6,13.188,8.643,1803.987,0.5,278.364,6.73,,51.2,,1.9,76.88,0.498
DZA,Asia,Andorra,2020-06-06,416,68,85.714,1654.0,9.0,24.429,3156.23,2.873,244.78,63.214,0.433,0.062,1.27,,,,,,,,,,,,,,,,,,,,,,,92.13,43851043,104.871,38.0,6.211,3.857,13913.839,,278.364,10.08,,51.2,37.746,1.9,64.83,0.498
AFG,Asia,Afghanistan,2020-07-20,52004,0,616.143,1346.0,7.0,3.286,3043.644,7.936,30.083,339.495,0.103,0.033,1.08,,,,,,,,,,,,,,,,,,,,,,,71.3,2877800,104.871,38.0,13.188,8.643,13913.839,,278.364,9.59,0.7,51.2,83.741,0.5,83.73,0.754
ALB,Asia,Albania,2020-04-09,60800,162,5.429,188.0,1.0,2.429,836.901,13.067,151.455,47.292,0.205,1.241,,,,,,,,,,,,,,,,,,,,,,,,21.3,38928341,54.422,18.6,6.211,8.643,1803.987,1.1,304.195,6.73,0.7,30.4,83.741,0.5,76.88,0.498
ALB,Asia,Andorra,2020-04-07,39870,7,55.429,31.0,2.0,4.143,4.17,54.903,6.106,373.202,0.068,,,,,,,,,,,,,,,,,,,,,,,,,62.96,43851043,104.871,29.1,2.581,1.337,13913.839,1.1,597.029,6.73,0.7,30.4,,0.5,64.83,0.754
ALB,Asia,Albania,2020-11-12,12385,12,5.429,1200.0,6.0,1.714,16863.576,1.798,6.553,40.387,0.0,0.026,1.22,,,,,,,,,,,,,,,,,,,,,,,65.74,2877800,54.422,,2.581,8.643,11803.431,0.5,304.195,10.08,,51.2,37.746,0.5,64.83,0.754
AND,Asia,Albania,2020-04-20,59527,113,173.714,319.0,4.0,4.857,795.23,6.217,5.734,0.488,0.0,1.44,1.15,,,,,,,,,,,,,,,,,,,,,,,78.7,38928341,104.871,29.1,2.581,8.643,1803.987,0.5,597.029,6.73,,51.2,,1.9,78.57,0.498
ALB,Europe,Andorra,2020-10-23,361,203,94.0,1261.0,7.0,3.429,1314.701,3.626,2.017,10.772,0.0,1.142,0.73,,,,,,,,,,,,,,,,,,,,,,,71.3,43851043,104.871,18.6,6.211,8.643,11803.431,1.1,597.029,6.73,,51.2,,2.89,76.88,0.754
ALB,Asia,Albania,2020-05-13,146,1,,1549.0,2.0,9.714,268.608,51.776,70.259,34.731,1.042,0.007,0.82,,,,,,,,,,,,,,,,,,,,,,,31.48,43851043,104.871,38.0,2.581,3.857,1803.987,0.5,278.364,9.59,7.1,30.4,37.746,0.5,78.57,0.785
ALB,Asia,Algeria,2020-03-06,898,392,397.714,33.0,4.0,2.429,122.437,2.085,4.893,9.035,0.103,0.04,1.15,,,,,,,,,,,,,,,,,,,,,,,79.63,43851043,104.871,18.6,13.188,8.643,11803.431,1.1,304.195,9.59,7.1,,37.746,2.89,83.73,0.785
AND,Asia,Andorra,2020-10-06,79110,106,153.714,571.0,24.0,9.143,424.164,3.215,5.379,32.724,1.39,0.088,1.22,,,,,,,,,,,,,,,,,,,,,,,78.7,38928341,104.871,18.6,13.188,1.337,11803.431,,597.029,10.08,,,83.741,1.9,76.88,0.498
AND,Asia,Afghanistan,2020-07-06,51405,542,239.571,760.0,3.0,6.571,2077.967,34.401,5.411,33.138,1.737,0.374,1.46,,,,,,,,,,,,,,,,,,,,,,,76.85,2877800,163.755,29.1,6.211,3.857,1803.987,,278.364,9.59,0.7,,,0.5,78.57,0.498
AND,Asia,Afghanistan,2020-10-15,103611,605,103.143,1111.0,,0.0,1094.55,45.173,24.225,10.772,0.36,0.166,1.01,,,,,,,,,,,,,,,,,,,,,,,72.22,2877800,104.871,18.6,2.581,1.337,11803.431,0.5,278.364,9.59,,51.2,83.741,1.9,64.83,0.785
DZA,Africa,Andorra,2020-10-04,51067,155,10.429,15.0,19.0,13.0,693.238,5.212,3.026,57.978,1.737,1.688,0.92,,,,,,,,,,,,,,,,,,,,,,,84.26,2877800,54.422,29.1,6.211,3.857,,1.1,597.029,9.59,,30.4,37.746,0.5,64.83,0.785
AND,Europe,Albania,2020-04-16,25531,190,7.857,605.0,5.0,0.0,2351.757,2.554,2.45,34.731,0.046,1.34,0.9,,,,,,,,,,,,,,,,,,,,,,,27.78,43851043,54.422,18.6,2.581,3.857,13913.839,,597.029,6.73,7.1,51.2,37.746,0.5,76.88,0.785
ALB,Asia,Andorra,2020-04-09,35918,210,2.286,1341.0,,8.0,18699.701,5.549,3.196,38.507,2.085,0.004,0.96,,,,,,,,,,,,,,,,,,,,,,,12.04,38928341,104.871,18.6,2.581,1.337,1803.987,,278.364,9.59,7.1,30.4,,1.9,78.57,0.754
DZA,Asia,Albania,2020-04-12,59527,42,105.857,384.0,9.0,14.143,1301.237,4.517,5.613,109.806,4.17,0.242,1.06,,,,,,,,,,,,,,,,,,,,,,,76.85,38928341,54.422,29.1,2.581,8.643,11803.431,0.5,597.029,10.08,7.1,,83.741,2.89,78.57,0.754
ALB,Africa,Albania,2020-12-25,36245,127,417.0,1312.0,1.0,0.0,1209.196,6.139,251.035,64.559,0.0,0.272,,,,,,,,,,,,,,,,,,,,,,,,89.81,38928341,54.422,29.1,2.581,8.643,13913.839,,278.364,10.08,0.7,51.2,,1.9,76.88,0.754
ALB,Europe,Albania,2020-04-19,2893,66,191.571,1247.0,15.0,7.857,1449.371,2.759,1.45,89.999,3.127,0.495,,,,,,,,,,,,,,,,,,,,,,,,5.56,2877800,54.422,38.0,6.211,1.337,11803.431,0.5,597.029,10.08,,,83.741,1.9,76.88,0.785
AFG,Europe,Afghanistan,2020-06-04,2160,232,150.714,1.0,12.0,4.0,0.068,1.439,12.542,138.995,4.865,0.695,,,,,,,,,,,,,,,,,,,,,,,,50.93,38928341,54.422,29.1,6.211,1.337,13913.839,0.5,278.364,6.73,,,37.746,1.9,64.83,0.754
ALB,Asia,Andorra,2020-07-01,75,76,250.0,7.0,4.0,0.0,6.165,4.264,2.301,,0.0,0.11,1.41,,,,,,,,,,,,,,,,,,,,,,,84.26,2877800,54.422,38.0,13.188,8.643,11803.431,0.5,278.364,6.73,0.7,30.4,83.741,1.9,78.57,0.754
ALB,Africa,Afghanistan,2020-06-25,56143,10,161.429,61.0,3.0,15.571,1069.478,2.029,0.606,37.608,1.39,2.035,1.12,,,,,,,,,,,,,,,,,,,,,,,72.22,2877800,54.422,18.6,2.581,1.337,11803.431,1.1,597.029,6.73,0.7,30.4,,0.5,76.88,0.498
AND,Asia,Afghanistan,2020-10-13,20040,56,175.0,1270.0,11.0,8.714,1019.9,9.806,2.447,10.604,0.128,0.0,1.04,,,,,,,,,,,,,,,,,,,,,,,76.85,38928341,163.755,38.0,2.581,1.337,11803.431,1.1,597.029,10.08,7.1,,37.746,0.5,76.88,0.785
AND,Asia,Afghanistan,2020-05-08,35219,93,41.286,753.0,0.0,21.429,2605.81,28.494,1.402,10.855,,0.121,,,,,,,,,,,,,,,,,,,,,,,,54.63,38928341,17.348,29.1,2.581,1.337,13913.839,0.5,597.029,10.08,,30.4,37.746,1.9,76.88,0.498
ALB,Asia,Albania,2020-04-17,11504,34,284.714,579.0,1.0,5.0,68.573,0.565,12.542,0.068,0.695,0.042,,,,,,,,,,,,,,,,,,,,,,,,63.89,38928341,104.871,29.1,6.211,8.643,1803.987,,597.029,6.73,7.1,,,1.9,76.88,0.498
ALB,Europe,Afghanistan,2020-09-04,45174,129,324.714,1846.0,0.0,11.571,4105.914,14.925,7.991,88.262,6.255,0.479,1.15,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341,17.348,18.6,2.581,8.643,1803.987,,278.364,10.08,,51.2,83.741,1.9,78.57,0.785
AND,Asia,Andorra,2020-05-16,1830,7,40.0,2722.0,12.0,6.571,825.613,5.266,0.851,10.855,1.737,0.088,1.41,,,,,,,,,,,,,,,,,,,,,,,86.11,2877800,163.755,18.6,2.581,1.337,13913.839,,278.364,9.59,0.7,51.2,83.741,2.89,76.88,0.785
ALB,Europe,Afghanistan,2020-07-05,368,253,11.143,515.0,30.0,9.286,1024.19,251.929,6.95,36.22,0.0,0.0,1.19,,,,,,,,,,,,,,,,,,,,,,,89.81,2877800,104.871,18.6,13.188,3.857,13913.839,1.1,304.195,10.08,0.7,30.4,,1.9,64.83,0.754
ALB,Asia,Andorra,2020-04-05,1,151,90.714,1312.0,13.0,1.857,23826.534,21.254,2.626,60.188,0.114,0.114,1.13,,,,,,,,,,,,,,,,,,,,,,,54.63,38928341,104.871,29.1,6.211,8.643,13913.839,0.5,278.364,9.59,7.1,30.4,83.741,2.89,64.83,0.785
AND,Asia,Afghanistan,2020-07-07,1385,24,79.571,1333.0,,10.286,5062.2,1.284,48.102,35.096,2.085,1.737,0.95,,,,,,,,,,,,,,,,,,,,,,,68.52,38928341,17.348,18.6,13.188,3.857,11803.431,,597.029,9.59,,51.2,83.741,2.89,78.57,0.785
DZA,Europe,Albania,2020-09-03,2893,104,602.143,9.0,6.0,0.286,243.962,2.645,2.675,38.044,0.182,0.099,0.89,,,,,,,,,,,,,,,,,,,,,,,63.89,43851043,104.871,18.6,2.581,3.857,11803.431,0.5,304.195,6.73,7.1,30.4,,1.9,78.57,0.858
AND,Europe,Andorra,2020-03-28,28432,460,468.714,53.0,0.0,6.714,229.185,12.565,13.038,41.071,0.334,0.55,0.81,,,,,,,,,,,,,,,,,,,,,,,83.33,43851043,54.422,18.6,6.211,1.337,13913.839,,278.364,9.59,0.7,,83.741,1.9,64.83,0.785
DZA,Europe,Afghanistan,2020-09-26,8306,7,142.0,34.0,22.0,4.143,2012.54,1.952,42.791,238.029,0.257,0.199,0.89,,,,,,,,,,,,,,,,,,,,,,,72.22,38928341,54.422,38.0,6.211,8.643,11803.431,0.5,597.029,6.73,,51.2,37.746,0.5,76.88,0.754
AND,Asia,Andorra,2020-06-14,53399,7,53.286,450.0,3.0,8.0,1370.004,13.797,215.641,,0.114,,0.82,,,,,,,,,,,,,,,,,,,,,,,65.74,43851043,104.871,18.6,6.211,3.857,11803.431,,278.364,6.73,0.7,,,2.89,78.57,0.754
ALB,Asia,Albania,2020-10-14,42988,538,184.143,232.0,4.0,2.429,2264.735,5.291,47.01,21.27,0.257,0.042,,,,,,,,,,,,,,,,,,,,,,,,54.63,38928341,104.871,18.6,6.211,8.643,13913.839,0.5,304.195,10.08,,30.4,,2.89,64.83,0.498
DZA,Asia,Afghanistan,2020-12-22,52270,90,164.143,2343.0,12.0,5.714,994.545,41.351,1.387,16.51,0.114,0.044,,,,,,,,,,,,,,,,,,,,,,,,86.57,2877800,54.422,,2.581,8.643,1803.987,,597.029,6.73,0.7,,37.746,1.9,64.83,0.754
AND,Africa,Albania,2020-02-27,584,37,605.0,2410.0,16.0,3.714,942.784,10.481,2.789,1.737,0.205,0.257,1.43,,,,,,,,,,,,,,,,,,,,,,,12.04,43851043,17.348,29.1,6.211,3.857,1803.987,,597.029,9.59,0.7,,,2.89,76.88,0.498
ALB,Europe,Andorra,2021-01-09,54203,16,368.0,1752.0,0.0,0.0,1586.986,24.672,5.505,28.154,4.17,0.231,1.61,,,,,,,,,,,,,,,,,,,,,,,71.3,43851043,54.422,29.1,2.581,3.857,13913.839,1.1,278.364,10.08,,51.2,37.746,2.89,78.57,0.754
AND,Africa,Andorra,2020-03-02,45469,562,311.143,26.0,4.0,10.571,287.092,3.108,2.486,10.772,0.051,0.894,0.9,,,,,,,,,,,,,,,,,,,,,,,71.3,43851043,17.348,38.0,13.188,1.337,13913.839,0.5,278.364,10.08,7.1,51.2,,0.5,76.88,0.754
DZA,Asia,Afghanistan,2021-01-04,9083,152,,35.0,8.0,0.0,3.475,4.598,5.113,32.984,5.907,1.787,,,,,,,,,,,,,,,,,,,,,,,,31.48,43851043,54.422,29.1,2.581,3.857,13913.839,,304.195,10.08,,,83.741,0.5,64.83,0.785
AND,Europe,Afghanistan,2020-07-23,39693,27,7.571,38.0,8.0,1.571,2077.967,12.839,12.67,20.456,0.103,0.015,0.84,,,,,,,,,,,,,,,,,,,,,,,86.57,2877800,104.871,18.6,2.581,8.643,1803.987,0.5,304.195,6.73,7.1,51.2,37.746,2.89,64.83,0.498
ALB,Asia,Algeria,2021-01-10,57332,426,1.286,85.0,0.0,15.571,0.18,3.626,4.206,3.134,0.0,1.589,1.1,,,,,,,,,,,,,,,,,,,,,,,12.04,43851043,54.422,38.0,13.188,8.643,11803.431,,597.029,10.08,,30.4,,0.5,78.57,0.498
AND,Asia,Andorra,2020-04-20,54,93,0.143,1188.0,12.0,10.286,14.283,12.839,16.796,33.009,0.206,0.117,0.94,,,,,,,,,,,,,,,,,,,,,,,68.52,43851043,104.871,29.1,13.188,3.857,1803.987,1.1,304.195,10.08,,30.4,,1.9,78.57,0.785
AND,Asia,Albania,2020-12-25,41302,159,150.571,799.0,0.0,0.143,1204.167,5.838,17.149,12.202,0.205,0.695,1.26,,,,,,,,,,,,,,,,,,,,,,,38.89,38928341,104.871,29.1,13.188,8.643,1803.987,,278.364,9.59,7.1,37.8,,1.9,64.83,0.754
ALB,Europe,Andorra,2020-09-18,29837,214,404.714,2554.0,2.0,2.714,8237.195,8.78,2.362,19.27,0.231,0.099,,,,,,,,,,,,,,,,,,,,,,,,60.19,2877800,17.348,18.6,13.188,8.643,1803.987,1.1,304.195,9.59,7.1,30.4,83.741,2.89,76.88,0.785
AND,Asia,Afghanistan,2020-05-19,49681,376,411.0,31.0,6.0,0.0,1371.751,2.987,1.01,36.464,0.437,0.745,,,,,,,,,,,,,,,,,,,,,,,,86.57,43851043,104.871,18.6,2.581,3.857,13913.839,,597.029,9.59,,30.4,,1.9,76.88,0.785
