Date,annee,Semaine,Zone_sante,total_a_suivre,suivis,non_suivis,nouveau_contacts,cas_suspects,contacts_sortis,Données manquantes,jamais_vus,non_vus_48h,pdv,reticences,deplaces,reste_a_suivre
43402,2018,47,Zémio,163,155.0,55,0.0,,,,,,,,,
43344,2018,46,Gamboula,859,671.0,17,,1.0,,,,,,,,
43398,2018,47,Ouham-Pendé,4573,2026.0,1,33.0,,,,,,,,,
43392,2018,50,Kaga-Bandoro,44,2107.0,16,,,,,,,,,,
43429,2018,47,Kaga-Bandoro,0,147.0,13,,,,,,,,,,
43367,2018,50,Gamboula,276,325.0,0,,,,,,,,,,
43421,2018,41,Ouham-Pendé,92,151.0,2,,,0.0,,,,,,,
43335,2018,38,Baboua,118,1.0,0,,,,,,,,,,
43357,2018,46,Mbomou,431,53.0,0,0.0,,,,,,,,,
43366,2018,41,Bambio,328,107.0,2,,0.0,,,,,,,,
43418,2018,41,Carnot,1450,0.0,28,,,,,,,,,,
43356,2018,35,Mbomou,134,9.0,209,,,,,,,,,,
43368,2018,44,Bambio,194,200.0,1,,,,,,,,,,
43395,2018,50,Amada-Gaza,99,67.0,114,,,,,,,,,,
43395,2018,39,Bimbo,163,26.0,0,,,,,,,,,,
43371,2018,44,Gamboula,326,1.0,2,17.0,,,,,,,,,
43330,2018,34,Ouham-Pendé,400,330.0,13,,0.0,,,,,,,,
43338,2018,48,Ouham-Pendé,846,298.0,0,,0.0,,,,,,,,
14/12/2018,2018,49,Mobaye,194,599.0,0,,,,,,,,,,
43354,2018,50,Bangui,147,472.0,9,,,,,,,,,,
30/11/2018,2018,40,Ouham-Pendé,44,3687.0,0,,,,,,,,,,
43341,2018,39,Kémo,805,53.0,30,,0.0,,,,,,,,
43370,2018,35,Carnot,292,142.0,6,,0.0,,,,,,,,
43345,2018,35,Bangui,264,627.0,6,,,,,,,,,,
43333,2018,38,Kaga-Bandoro,62,183.0,0,,,,,,,,,,
43354,2018,46,Bambio,791,99.0,1,,,0.0,,,,,,,
43371,2018,44,Mobaye,1248,25.0,117,,,,,,,,,,
43320,2018,50,Gamboula,432,207.0,7,98.0,,,,,,,,,
43331,2018,33,Bimbo,171,0.0,2,,0.0,,,,,,,,
43387,2018,48,Mbomou,862,246.0,2,,2.0,,,,,,,,
43417,2018,43,Mobaye,131,223.0,3,,,,,,,,,,
43373,2018,48,Gamboula,86,112.0,506,,,,,,,,,,
43355,2018,38,Kaga-Bandoro,264,796.0,9,,,63.0,,,,,,,
43390,2018,46,Bambio,2158,569.0,0,,,,,,,,,,
43373,2018,42,Mbomou,491,243.0,1,,,0.0,,,,,,,
43322,2018,42,Kémo,455,76.0,6,,,,,,,,,,
43333,2018,50,Mobaye,379,45.0,1,,,,,,,,,,
43367,2018,44,Mobaye,953,146.0,1,,,,,,,,,,
43321,2018,49,Mobaye,40,42.0,15,,,,,,,,,,
43351,2018,43,Bambio,207,161.0,1,,,,,,,,,,
43423,2018,47,Gamboula,85,54.0,0,,,,,,,,,,
43394,2018,45,Bambio,205,71.0,11,34.0,,,,,,,,,
43351,2018,33,Mobaye,864,3487.0,0,,,,,,,,,,
43406,2018,38,Ouham-Pendé,847,117.0,15,,,,,,,,,,
43359,2018,49,Gamboula,4864,26.0,326,,,,,,,,,,
43349,2018,50,Kaga-Bandoro,62,51.0,14,,,,,,,,,,
43385,2018,46,Ouham-Pendé,110,123.0,0,,,,,,,,,,
43427,2018,50,Ouham-Pendé,212,531.0,30,,,,,,,,,,
43389,2018,34,Bimbo,243,285.0,14,,,,,,,,,,
43394,2018,47,Mambéré-Kadéï,406,1523.0,1,0.0,,,,,,,,,
43395,2018,45,Paoua,1,160.0,1,4.0,,,,,,,,,
43369,2018,36,Kaga-Bandoro,48,828.0,0,,,,,,,,,,
43361,2018,45,Gamboula,51,9.0,57,,,0.0,,,,,,,
43368,2018,38,Mbomou,1034,1.0,1,,,,,,,,,,
14/12/2018,2018,34,Mambéré-Kadéï,562,72.0,1021,,,,,,,,,,
43372,2018,46,Kaga-Bandoro,142,590.0,2,,,136.0,,,,,,,
43360,2018,32,Bangui,205,213.0,1,,,0.0,,,,,,,
14/12/2018,2018,35,Mbomou,163,249.0,82,0.0,,,,,,,,,
43371,2018,40,Carnot,2734,209.0,540,,,,,,,,,,
43321,2018,39,Mobaye,314,798.0,3,,,,,,,,,,
11/12/2018,2018,47,Gamboula,6,47.0,7,,,,,,,,,,
43425,2018,49,Bangui,370,859.0,213,,,,,,,,,,
43361,2018,33,Bambio,1675,657.0,7,,,,,,,,,,
43388,2018,34,Bimbo,37,182.0,13,,,,,,,,,,
43414,2018,47,Mobaye,163,168.0,0,,,,,,,,,,
43398,2018,48,Mobaye,1348,509.0,26,,,,,,,,,,
43410,2018,47,Kaga-Bandoro,387,36.0,16,,,,,,,,,,
43328,2018,34,Kaga-Bandoro,2143,779.0,0,102.0,0.0,,,,,,,,
13/12/2018,2018,38,Bangui,207,122.0,11,,,,,,,,,,
43428,2018,35,Bimbo,470,621.0,13,125.0,,,,,,,,,
15/12/2018,2018,37,Mambéré-Kadéï,406,410.0,4,,,,,,,,,,
43325,2018,46,Bangui,125,9.0,3,,0.0,,,,,,,,
43324,2018,45,Baboua,84,161.0,11,,,,,,,,,,
43382,2018,49,Bambio,161,421.0,70,,,,,,,,,,
43354,2018,48,Paoua,173,2594.0,14,,,,,,,,,,
43361,2018,34,Amada-Gaza,35,166.0,0,,,,,,,,,,
43323,2018,47,Mobaye,432,54.0,5,0.0,,,,,,,,,
43332,2018,42,Mbomou,276,271.0,0,,,,,,,,,,
43429,2018,40,Kaga-Bandoro,267,40.0,0,,,,,,,,,,
10/12/2018,2018,44,Paoua,1348,842.0,3,,,,,,,,,,
43329,2018,40,Ouham-Pendé,114,76.0,1,,,,,,,,,,
43410,2018,47,Zémio,169,205.0,0,,,,,,,,,,
43373,2018,41,Kaga-Bandoro,124,49.0,36,,,,,,,,,,
43355,2018,44,Paoua,175,151.0,1,,,,,,,,,,
43380,2018,42,Zémio,92,3356.0,11,,0.0,,,,,,,,
43361,2018,50,Mambéré-Kadéï,57,4236.0,4,,0.0,,,,,,,,
43421,2018,47,Gamboula,114,52.0,0,,,,,,,,,,
43429,2018,47,Mbomou,1,341.0,0,,,,,,,,,,
02/12/2018,2018,36,Mobaye,291,50.0,540,,,,,,,,,,
43353,2018,36,Kémo,327,449.0,7,,,,,,,,,,
43429,2018,32,Ouham-Pendé,52,2018.0,150,,,,,,,,,,
43410,2018,45,Carnot,513,80.0,0,,,,,,,,,,
43372,2018,49,Kaga-Bandoro,582,124.0,1,,,,,,,,,,
43355,2018,36,Kaga-Bandoro,51,313.0,0,,,,,,,,,,
03/12/2018,2018,47,Mobaye,1,203.0,12,,,,,,,,,,
43404,2018,44,Mbomou,71,163.0,189,,,,,,,,,,
43325,2018,41,Bimbo,243,265.0,253,,,,,,,,,,
43429,2018,50,Gamboula,299,49.0,1,,,,,,,,,,
43327,2018,46,Mambéré-Kadéï,428,89.0,1,,1.0,,,,,,,,
43341,2018,50,Zémio,95,764.0,4,,,0.0,,,,,,,
43414,2018,48,Ouham-Pendé,379,584.0,19,,,,,,,,,,
43336,2018,50,Carnot,81,509.0,8,,,,,,,,,,
43337,2018,42,Mobaye,363,243.0,9,,,,,,,,,,
04/12/2018,2018,39,Ouham-Pendé,248,112.0,1,,,,,,,,,,
09/12/2018,2018,33,Baboua,459,1047.0,14,46.0,,,,,,,,,
43407,2018,38,Bimbo,169,50.0,31,,0.0,,,,,,,,
29/11/2018,2018,45,Ouham-Pendé,260,200.0,1,,,,,,,,,,
02/12/2018,2018,45,Mbomou,265,171.0,17,,,,,,,,,,
43332,2018,50,Zémio,850,263.0,165,,,,,,,,,,
43427,2018,34,Carnot,111,4.0,29,1.0,,,,,,,,,
43405,2018,42,Ouham-Pendé,37,2107.0,186,30.0,,,,,,,,,
43347,2018,46,Gamboula,281,9.0,0,,,,,,,,,,
43323,2018,39,Bangui,1314,383.0,41,,,,,,,,,,
43367,2018,42,Ouham-Pendé,352,700.0,8,,,,,,,,,,
43430,2018,47,Mbomou,173,45.0,0,,,,,,,,,,
43370,2018,47,Bambio,71,4.0,7,,,,,,,,,,
43365,2018,37,Ouham-Pendé,9,60.0,351,,,118.0,,,,,,,
43326,2018,41,Ouham-Pendé,143,904.0,36,,,,,,,,,,
43390,2018,50,Ouham-Pendé,83,4.0,11,100.0,,0.0,,,,,,,
30/11/2018,2018,48,Mambéré-Kadéï,1984,79.0,0,,,0.0,,,,,,,
43391,2018,50,Mbomou,328,52.0,1007,,,,,,,,,,
43425,2018,50,Zémio,3851,258.0,9,90.0,,,,,,,,,
43378,2018,38,Gamboula,67,0.0,167,,,0.0,,,,,,,
43346,2018,47,Amada-Gaza,141,29.0,120,,,,,,,,,,
04/12/2018,2018,50,Paoua,381,243.0,26,,,,,,,,,,
43414,2018,36,Mbomou,1,418.0,13,,,,,,,,,,
43362,2018,44,Mobaye,159,111.0,13,,,,,,,,,,
43390,2018,47,Gamboula,2603,459.0,91,,,,,,,,,,
43333,2018,32,Bangui,97,45.0,1,,0.0,,,,,,,,
43397,2018,49,Zémio,50,152.0,0,,,,,,,,,,
43328,2018,45,Ouham-Pendé,57,78.0,22,,,,,,,,,,
43387,2018,45,Ouham-Pendé,493,144.0,1,,,0.0,,,,,,,
43365,2018,44,Baboua,204,569.0,1,,,,,,,,,,
43421,2018,42,Gamboula,70,796.0,2,,,,,,,,,,
43381,2018,39,Carnot,195,51.0,3,,,,,,,,,,
02/12/2018,2018,40,Kaga-Bandoro,0,0.0,2,,,,,,,,,,
43420,2018,33,Mambéré-Kadéï,540,157.0,0,,0.0,0.0,,,,,,,
43341,2018,42,Mobaye,72,165.0,2,125.0,,,,,,,,,
43326,2018,43,Mbomou,342,156.0,1,,,,,,,,,,
43361,2018,42,Zémio,3601,54.0,4,,,,,,,,,,
43405,2018,48,Carnot,826,828.0,0,98.0,,,,,,,,,
43427,2018,49,Gamboula,173,317.0,14,60.0,,,,,,,,,
43403,2018,43,Ouham-Pendé,674,29.0,14,,,,,,,,,,
43322,2018,40,Gamboula,308,396.0,50,,,,,,,,,,
43409,2018,48,Bambio,49,72.0,80,,0.0,,,,,,,,
43346,2018,38,Bimbo,4,188.0,306,,,,,,,,,,
43322,2018,41,Kaga-Bandoro,856,4.0,0,,,,,,,,,,
43383,2018,38,Paoua,67,45.0,1,,,,,,,,,,
10/12/2018,2018,48,Bambio,4100,1892.0,13,,0.0,,,,,,,,
43332,2018,47,Ouham-Pendé,316,213.0,1,,,,,,,,,,
43396,2018,49,Zémio,85,7.0,19,,0.0,,,,,,,,
43341,2018,50,Carnot,1,53.0,2,,,,,,,,,,
43397,2018,39,Ouham-Pendé,3753,45.0,0,,,,,,,,,,
43354,2018,42,Gamboula,120,860.0,196,0.0,,,,,,,,,
01/12/2018,2018,34,Zémio,370,3633.0,0,,,,,,,,,,
06/12/2018,2018,41,Ouham-Pendé,1262,4.0,540,,,,,,,,,,
43356,2018,41,Gamboula,989,36.0,6,,,,,,,,,,
43334,2018,32,Ouham-Pendé,894,112.0,17,,,,,,,,,,
10/12/2018,2018,49,Mobaye,131,288.0,1,,,,,,,,,,
43418,2018,47,Carnot,453,459.0,1,,,0.0,,,,,,,
43328,2018,50,Bimbo,119,614.0,2,,,,,,,,,,
43402,2018,32,Mbomou,340,259.0,1,,,,,,,,,,
43347,2018,47,Zémio,110,696.0,4,,,,,,,,,,
43318,2018,49,Mambéré-Kadéï,294,460.0,4,,,,,,,,,,
11/12/2018,2018,49,Carnot,774,147.0,5,,,,,,,,,,
43364,2018,50,Bambio,4102,959.0,20,,,,,,,,,,
43390,2018,36,Kaga-Bandoro,518,157.0,11,,,0.0,,,,,,,
06/12/2018,2018,48,Gamboula,514,829.0,0,,0.0,,,,,,,,
43396,2018,48,Ouham-Pendé,46,1811.0,1,,,,,,,,,,
43375,2018,48,Gamboula,168,50.0,0,,,,,,,,,,
43405,2018,35,Kémo,80,163.0,7,,,0.0,,,,,,,
43318,2018,32,Mambéré-Kadéï,448,163.0,0,,,,,,,,,,
43398,2018,47,Bangui,501,71.0,26,,,179.0,,,,,,,
43334,2018,50,Mbomou,131,294.0,0,,,0.0,,,,,,,
43335,2018,41,Baboua,862,160.0,11,60.0,,136.0,,,,,,,
43365,2018,49,Mobaye,310,152.0,233,,1.0,,,,,,,,
43375,2018,44,Bimbo,73,4284.0,26,69.0,0.0,,,,,,,,
43429,2018,47,Mambéré-Kadéï,332,171.0,30,,,,,,,,,,
43364,2018,33,Mbomou,596,1523.0,192,,,,,,,,,,
43391,2018,41,Kémo,595,483.0,2,,,,,,,,,,
02/12/2018,2018,50,Bambio,353,1020.0,294,,,,,,,,,,
43422,2018,40,Mbomou,1092,141.0,0,,,,,,,,,,
43333,2018,47,Bambio,57,53.0,9,,,,,,,,,,
43369,2018,32,Bangui,1,1523.0,17,,,,,,,,,,
43367,2018,39,Mambéré-Kadéï,200,32.0,88,,,,,,,,,,
43369,2018,36,Kémo,103,44.0,2,,,,,,,,,,
43346,2018,32,Bangui,340,32.0,85,,,59.0,,,,,,,
43344,2018,44,Bimbo,37,330.0,91,,,,,,,,,,
43371,2018,49,Kaga-Bandoro,53,529.0,0,,,,,,,,,,
43374,2018,35,Mobaye,264,696.0,1,,,,,,,,,,
43425,2018,40,Kaga-Bandoro,46,431.0,6,,,,,,,,,,
11/12/2018,2018,48,Kaga-Bandoro,25,332.0,4,28.0,,,,,,,,,
43414,2018,32,Mobaye,550,0.0,11,,0.0,67.0,,,,,,,
43345,2018,47,Gamboula,85,334.0,8,,,,,,,,,,
43325,2018,49,Amada-Gaza,1348,300.0,0,,0.0,,,,,,,,
43371,2018,43,Paoua,514,9.0,384,,,0.0,,,,,,,
43322,2018,49,Bambio,117,480.0,8,,,,,,,,,,
43374,2018,36,Bambio,4792,804.0,299,,,,,,,,,,
43367,2018,40,Ouham-Pendé,194,796.0,7,,,,,,,,,,
08/12/2018,2018,40,Mbomou,2323,36.0,0,,,,,,,,,,
43427,2018,50,Mbomou,548,812.0,2,,,,,,,,,,
11/12/2018,2018,40,Kaga-Bandoro,207,455.0,0,,0.0,,,,,,,,
43397,2018,47,Kémo,267,36.0,0,,,,,,,,,,
43422,2018,44,Bambio,859,101.0,8,,,,,,,,,,
43417,2018,37,Ouham-Pendé,849,3687.0,4,,,,,,,,,,
43344,2018,49,Mobaye,0,105.0,120,,,,,,,,,,
43341,2018,47,Kémo,514,243.0,0,,,,,,,,,,
43413,2018,47,Mbomou,68,29.0,506,,,,,,,,,,
43347,2018,41,Paoua,49,84.0,1,,,,,,,,,,
43327,2018,38,Ouham-Pendé,332,49.0,0,,,,,,,,,,
43355,2018,32,Bimbo,3735,627.0,33,,,,,,,,,,
01/12/2018,2018,43,Mobaye,84,243.0,85,,,0.0,,,,,,,
43318,2018,44,Mbomou,147,829.0,0,,,,,,,,,,
43379,2018,50,Carnot,308,821.0,6,,,,,,,,,,
43391,2018,49,Gamboula,80,2080.0,7,,,,,,,,,,
43413,2018,43,Kémo,161,72.0,28,,,,,,,,,,
43391,2018,45,Kémo,646,9.0,0,,,,,,,,,,
43372,2018,48,Gamboula,166,124.0,154,,,,,,,,,,
43378,2018,46,Zémio,491,450.0,1007,,0.0,,,,,,,,
43328,2018,42,Zémio,293,177.0,0,95.0,,,,,,,,,
43399,2018,46,Paoua,110,171.0,7,,,,,,,,,,
43371,2018,43,Zémio,131,315.0,1,,0.0,,,,,,,,
43368,2018,36,Bangui,97,203.0,2,,,,,,,,,,
43366,2018,45,Ouham-Pendé,438,72.0,0,,,,,,,,,,
43380,2018,49,Kémo,57,857.0,196,,,,,,,,,,
43329,2018,40,Mbomou,1984,324.0,0,,,,,,,,,,
43394,2018,35,Bangui,99,163.0,172,,,,,,,,,,
43425,2018,41,Zémio,1954,288.0,37,,,,,,,,,,
43416,2018,42,Bambio,83,1181.0,10,,0.0,0.0,,,,,,,
43431,2018,49,Zémio,530,18.0,0,,,,,,,,,,
43351,2018,46,Mbomou,159,353.0,0,,,,,,,,,,
30/11/2018,2018,50,Bambio,218,26.0,7,,,,,,,,,,
43378,2018,41,Zémio,72,381.0,7,,,0.0,,,,,,,
43364,2018,41,Bambio,161,1.0,3,,,,,,,,,,
43346,2018,50,Mbomou,218,164.0,20,,,,,,,,,,
06/12/2018,2018,49,Zémio,556,378.0,0,30.0,,,,,,,,,
43362,2018,39,Bangui,290,246.0,0,,0.0,,,,,,,,
43319,2018,44,Kaga-Bandoro,99,44.0,0,0.0,0.0,,,,,,,,
06/12/2018,2018,50,Bambio,359,380.0,2,,0.0,,,,,,,,
43394,2018,40,Baboua,159,163.0,196,,,,,,,,,,
43403,2018,36,Mambéré-Kadéï,131,1.0,11,,,,,,,,,,
43374,2018,41,Kaga-Bandoro,338,71.0,0,,,,,,,,,,
43318,2018,33,Ouham-Pendé,357,92.0,59,,,,,,,,,,
43402,2018,42,Mobaye,171,453.0,2,,,,,,,,,,
43413,2018,47,Paoua,25,288.0,0,,,32.0,,,,,,,
43401,2018,49,Zémio,73,281.0,32,,0.0,,,,,,,,
43348,2018,42,Bangui,117,36.0,6,290.0,,,,,,,,,
43372,2018,46,Bambio,53,160.0,364,,,,,,,,,,
43357,2018,49,Bimbo,1,315.0,213,,,,,,,,,,
43384,2018,49,Gamboula,141,459.0,11,,,,,,,,,,
43426,2018,42,Baboua,4420,812.0,27,,,0.0,,,,,,,
43390,2018,40,Kémo,74,842.0,7,,,,,,,,,,
43390,2018,46,Ouham-Pendé,291,161.0,10,,,,,,,,,,
43413,2018,37,Bambio,301,,1,,,,,,,,,,
04/12/2018,2018,49,Zémio,517,18.0,15,,,,,,,,,,
09/12/2018,2018,44,Bambio,201,36.0,4,,,,,,,,,,
43368,2018,39,Gamboula,1,71.0,224,,,,,,,,,,
08/12/2018,2018,46,Kaga-Bandoro,74,93.0,6,,0.0,,,,,,,,
43420,2018,43,Kaga-Bandoro,182,748.0,3,,,,,,,,,,
43359,2018,38,Bangui,858,281.0,13,,0.0,,,,,,,,
43334,2018,37,Zémio,407,114.0,30,,,,,,,,,,
14/12/2018,2018,41,Kaga-Bandoro,37,109.0,0,,,,,,,,,,
43396,2018,39,Amada-Gaza,170,1.0,8,,,,,,,,,,
43397,2018,36,Kémo,163,838.0,26,,,,,,,,,,
43425,2018,49,Mobaye,644,72.0,199,,,0.0,,,,,,,
43339,2018,44,Bambio,170,3487.0,0,,,,,,,,,,
43339,2018,43,Bangui,557,2020.0,14,,,,,,,,,,
11/12/2018,2018,45,Mambéré-Kadéï,38,151.0,1,,,,,,,,,,
43328,2018,47,Mambéré-Kadéï,1375,112.0,1,,,,,,,,,,
43374,2018,36,Mobaye,293,134.0,36,,,,,,,,,,
43341,2018,46,Gamboula,112,1691.0,3,,,,,,,,,,
43396,2018,37,Mambéré-Kadéï,119,72.0,0,,,,,,,,,,
43350,2018,50,Bimbo,453,43.0,0,,,,,,,,,,
43396,2018,47,Carnot,168,9.0,13,,,,,,,,,,
09/12/2018,2018,39,Mambéré-Kadéï,791,783.0,47,0.0,,,,,,,,,
43366,2018,47,Gamboula,321,84.0,3,,0.0,,,,,,,,
43321,2018,37,Zémio,168,171.0,0,,,,,,,,,,
13/12/2018,2018,43,Baboua,84,404.0,26,,,,,,,,,,
43372,2018,37,Gamboula,1305,1892.0,18,,,,,,,,,,
43378,2018,38,Paoua,328,179.0,0,,,2.0,,,,,,,
43395,2018,35,Zémio,175,2595.0,2,,0.0,,,,,,,,
43346,2018,46,Carnot,74,124.0,2,,,,,,,,,,
43390,2018,46,Mbomou,265,63.0,9,,,,,,,,,,
43329,2018,47,Mbomou,170,207.0,39,,,,,,,,,,
43408,2018,49,Mobaye,46,410.0,3,0.0,,,,,,,,,
43374,2018,48,Bimbo,2141,197.0,3,,,,,,,,,,
43361,2018,42,Mbomou,3801,67.0,2,,,,,,,,,,
43325,2018,38,Bambio,37,67.0,1,,0.0,,,,,,,,
43353,2018,40,Kaga-Bandoro,147,168.0,114,,,,,,,,,,
43370,2018,45,Kaga-Bandoro,1248,200.0,6,,0.0,,,,,,,,
43429,2018,47,Bambio,293,863.0,14,,,,,,,,,,
43388,2018,41,Bangui,54,49.0,17,,,,,,,,,,
43333,2018,39,Mbomou,325,161.0,9,,,,,,,,,,
43354,2018,46,Mbomou,428,122.0,9,,,,,,,,,,
43387,2018,49,Ouham-Pendé,170,47.0,8,,,,,,,,,,
43416,2018,49,Gamboula,277,296.0,44,,,,,,,,,,
43324,2018,43,Ouham-Pendé,865,382.0,1,,,,,,,,,,
43427,2018,43,Ouham-Pendé,46,36.0,0,,,,,,,,,,
43429,2018,39,Gamboula,2644,378.0,165,,,,,,,,,,
43365,2018,49,Mbomou,330,26.0,27,,,,,,,,,,
43374,2018,47,Gamboula,141,180.0,45,,,,,,,,,,
43379,2018,37,Paoua,1822,4.0,172,0.0,,,,,,,,,
43416,2018,41,Kaga-Bandoro,277,4.0,1,,,,,,,,,,
43403,2018,38,Ouham-Pendé,2603,200.0,205,2.0,,,,,,,,,
14/12/2018,2018,44,Ouham-Pendé,46,418.0,2,,,,,,,,,,
43393,2018,36,Kaga-Bandoro,53,224.0,88,,,,,,,,,,
43370,2018,47,Mbomou,57,348.0,0,,,,,,,,,,
43397,2018,32,Paoua,2143,81.0,33,0.0,,,,,,,,,
43336,2018,45,Bangui,528,375.0,10,,0.0,,,,,,,,
43367,2018,43,Gamboula,225,488.0,3,,,,,,,,,,
43347,2018,47,Mambéré-Kadéï,517,92.0,6,,,,,,,,,,
43348,2018,50,Zémio,611,49.0,14,,,,,,,,,,
43410,2018,50,Kaga-Bandoro,717,367.0,0,,,,,,,,,,
09/12/2018,2018,50,Bimbo,383,57.0,0,,,,,,,,,,
43323,2018,44,Amada-Gaza,363,52.0,8,,,,,,,,,,
43347,2018,47,Gamboula,524,5.0,0,,,,,,,,,,
30/11/2018,2018,48,Ouham-Pendé,459,93.0,0,,,,,,,,,,
43342,2018,34,Amada-Gaza,57,124.0,0,,,,,,,,,,
43427,2018,34,Ouham-Pendé,1,504.0,7,,,,,,,,,,
11/12/2018,2018,47,Carnot,118,850.0,10,,,,,,,,,,
43321,2018,44,Bimbo,71,433.0,0,36.0,,,,,,,,,
43371,2018,34,Bimbo,200,296.0,0,,,0.0,,,,,,,
43420,2018,49,Mambéré-Kadéï,629,1.0,28,,,,,,,,,,
04/12/2018,2018,37,Zémio,67,52.0,9,,,,,,,,,,
43354,2018,36,Kémo,195,390.0,1,,0.0,,,,,,,,
43318,2018,42,Carnot,52,294.0,0,,,,,,,,,,
05/12/2018,2018,41,Gamboula,265,9.0,3,,,,,,,,,,
43386,2018,46,Bambio,421,79.0,19,,,,,,,,,,
43343,2018,49,Ouham-Pendé,51,206.0,8,,,,,,,,,,
30/11/2018,2018,32,Mbomou,168,1811.0,6,,,,,,,,,,
43413,2018,37,Gamboula,138,30.0,0,,,0.0,,,,,,,
43370,2018,38,Kaga-Bandoro,118,632.0,13,,,,,,,,,,
43357,2018,49,Amada-Gaza,159,124.0,2,,,,,,,,,,
43383,2018,48,Kaga-Bandoro,2243,124.0,11,,0.0,0.0,,,,,,,
43428,2018,50,Kémo,99,460.0,272,,,,,,,,,,
43331,2018,46,Bimbo,60,653.0,0,,,,,,,,,,
43341,2018,45,Paoua,173,83.0,3,290.0,,0.0,,,,,,,
43356,2018,47,Carnot,79,459.0,1,,,,,,,,,,
43375,2018,36,Mobaye,239,524.0,1,180.0,0.0,,,,,,,,
43346,2018,43,Kaga-Bandoro,111,529.0,7,,1.0,,,,,,,,
43327,2018,48,Gamboula,37,488.0,19,,,0.0,,,,,,,
43424,2018,47,Mbomou,4,49.0,26,,,,,,,,,,
43372,2018,42,Mbomou,674,820.0,7,,,,,,,,,,
43391,2018,32,Kaga-Bandoro,381,237.0,2,,0.0,,,,,,,,
43330,2018,42,Carnot,92,151.0,1,,,,,,,,,,
43386,2018,32,Bambio,619,531.0,13,,0.0,,,,,,,,
43330,2018,33,Paoua,80,0.0,0,,,,,,,,,,
43357,2018,50,Bambio,805,2595.0,2,,,,,,,,,,
43333,2018,41,Mobaye,63,1.0,0,,,,,,,,,,
43361,2018,43,Mambéré-Kadéï,865,353.0,28,,,,,,,,,,
43427,2018,37,Ouham-Pendé,629,171.0,2,0.0,,,,,,,,,
43340,2018,44,Ouham-Pendé,168,58.0,0,,,,,,,,,,
43325,2018,41,Kaga-Bandoro,330,52.0,0,,,,,,,,,,
43320,2018,50,Mambéré-Kadéï,410,207.0,4,,,,,,,,,,
43341,2018,45,Carnot,326,112.0,82,,,,,,,,,,
43391,2018,49,Zémio,793,1.0,0,,,,,,,,,,
43379,2018,50,Bambio,342,4.0,0,,,,,,,,,,
43382,2018,32,Mbomou,290,4538.0,414,,,,,,,,,,
43378,2018,45,Gamboula,138,109.0,61,0.0,,,,,,,,,
08/12/2018,2018,43,Carnot,46,301.0,6,,,,,,,,,,
43412,2018,46,Mbomou,1,92.0,8,,,,,,,,,,
06/12/2018,2018,40,Mbomou,81,45.0,7,,,,,,,,,,
43378,2018,47,Ouham-Pendé,145,1235.0,7,0.0,,,,,,,,,
43353,2018,50,Paoua,212,3422.0,0,,,0.0,,,,,,,
43342,2018,39,Gamboula,459,0.0,107,,,,,,,,,,
43339,2018,50,Paoua,1113,206.0,15,,,,,,,,,,
43322,2018,49,Carnot,432,52.0,0,,,,,,,,,,
43331,2018,39,Ouham-Pendé,147,161.0,0,,,,,,,,,,
43390,2018,45,Mbomou,53,314.0,19,,,,,,,,,,
43390,2018,44,Carnot,49,47.0,36,,,,,,,,,,
43345,2018,36,Amada-Gaza,265,149.0,213,,,0.0,,,,,,,
43400,2018,34,Ouham-Pendé,405,593.0,28,,,,,,,,,,
09/12/2018,2018,45,Mbomou,365,375.0,1,,0.0,,,,,,,,
43429,2018,48,Amada-Gaza,226,671.0,34,,,,,,,,,,
43332,2018,50,Kaga-Bandoro,114,147.0,0,,,,,,,,,,
30/11/2018,2018,46,Gamboula,316,311.0,21,52.0,,,,,,,,,
10/12/2018,2018,36,Carnot,1152,1207.0,0,,,,,,,,,,
43386,2018,32,Carnot,57,52.0,3,,,,,,,,,,
43401,2018,50,Kémo,73,36.0,60,,,,,,,,,,
43371,2018,45,Mobaye,82,3442.0,0,,,,,,,,,,
43405,2018,50,Carnot,618,45.0,2,,,0.0,,,,,,,
43409,2018,47,Mbomou,157,200.0,1,,0.0,,,,,,,,
43398,2018,49,Mobaye,514,552.0,-43,,,,,,,,,,
43406,2018,34,Bimbo,428,1691.0,10,,,,,,,,,,
29/11/2018,2018,37,Paoua,166,63.0,22,,,,,,,,,,
43384,2018,38,Gamboula,140,804.0,15,,,0.0,,,,,,,
43323,2018,48,Bambio,175,49.0,7,,,,,,,,,,
02/12/2018,2018,43,Ouham-Pendé,3667,54.0,54,,,1.0,,,,,,,
43392,2018,50,Paoua,838,327.0,0,,0.0,,,,,,,,
43391,2018,43,Mbomou,141,47.0,13,,,,,,,,,,
43322,2018,44,Gamboula,62,215.0,54,,,,,,,,,,
43367,2018,40,Gamboula,57,448.0,2,,,,,,,,,,
43357,2018,47,Bambio,110,124.0,2,,,,,,,,,,
43370,2018,38,Mambéré-Kadéï,99,36.0,2,,,,,,,,,,
43341,2018,35,Ouham-Pendé,54,288.0,1,,1.0,,,,,,,,
43344,2018,43,Bambio,44,207.0,0,,2.0,,,,,,,,
43361,2018,45,Gamboula,1310,500.0,2,,,,,,,,,,
16/12/2018,2018,44,Kaga-Bandoro,169,67.0,3,,0.0,,,,,,,,
43365,2018,49,Kaga-Bandoro,0,124.0,8,0.0,,0.0,,,,,,,
43335,2018,37,Carnot,1834,94.0,4,,,405.0,,,,,,,
