ZdS,date,sem_epi,zone_sante,aire_sante,report_viv,report_dc,nlle_viv,nlle_deces,investig_viv,investig_dc,investig_en cours_viv,investig_en cours_dc,non investig_viv,non investig_dc,valid_viv,valid_dc,acheminee_CTE,acheminee_FOSA,acheminee_en_cours,acheminee_refus,AchemineesCTE=vivants valides,total_prelev,ATTENTE_prele,REFUS_prelev,prelev=vivant valide,EDS,swabbe,REFUS_EDS,REFUS_swab,EDS=deces valides,Swab=deces valides,PoE,FOSA,Comm,recu_contact,CTE,Sources=alertes,connu_vivant,connu_deces,nouvelle_totale,total_alerte_viv,total_alerte_deces,total_alerte,total_investigues,valid_tot,%prelev,%invest,%valid
BOLOMBA,08/09/2020,38,Zémio,Nola,0.0,0.0,0.0,5.0,131.0,0.0,20,2,,,41.0,,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,OK,0.0,,0.0,,,Erreur,,,65,103,0,29,90,37,0.0,0.957746479,0.344827586
MONIEKA,23/08/2020,36,Baoro,Nola,0.0,0.0,74.0,0.0,49.0,0.0,9,1,,,7.0,0.0,,,0.0,3.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,,,0.0,0.0,Erreur,,,57,11,0,30,45,0,,1.0,
MBANDAKA,07/08/2020,31,Berberati,Nola,5.0,,24.0,0.0,110.0,2.0,17,O,,,45.0,0.0,0.0,,0.0,0.0,Erreur,1.0,,,OK,,,,,Erreur,OK,,,,,0.0,Erreur,,,99,10,0,51,0,46,0.458333333,0.933333333,
BOLENGE,18/06/2020,28,Bozoum,Nola,0.0,0.0,10.0,0.0,70.0,0.0,6,,,,15.0,1.0,0.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,Erreur,,0.0,91.0,,,OK,,,0,0,0,5,0,11,0.0,0.930232558,0.545454545
IBOKO,22/08/2020,25,Berberati,Nola,,0.0,8.0,3.0,191.0,3.0,10,2,,,0.0,3.0,1.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,,,0.0,Erreur,,,174,33,0,103,12,7,0.0,0.974358974,
,19/09/2020,26,Bozoum,Nola,,0.0,24.0,0.0,,0.0,14,1,,,14.0,,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,,1.0,,,Erreur,,,62,117,1,47,6,11,0.266666667,0.354166667,0.122807018
BASANKUSU,29/06/2020,32,Basse-Kotto,Nola,,0.0,36.0,0.0,2.0,,24,O,,,1.0,0.0,,,0.0,,Erreur,,,,OK,,,,,OK,Erreur,0.0,25.0,,,0.0,OK,,,2,110,0,0,83,8,0.0,1.0,0.177777778
LILANGA-BOBANGI,05/06/2020,38,Ouham,Nola,0.0,0.0,129.0,,1.0,3.0,2,O,,,0.0,0.0,0.0,,,,Erreur,,,,OK,,,,,OK,Erreur,1.0,,1.0,,0.0,OK,,,0,0,2,0,0,13,,,0.075
LOLANGA-MAMPOKO,16/08/2020,37,Basse-Kotto,Nola,0.0,0.0,90.0,0.0,75.0,2.0,13,1,,,65.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,1.0,0.0,,,Erreur,,,45,12,0,0,0,0,0.0,1.0,0.205128205
BOLENGE,23/09/2020,36,Ombella-M'Poko,Nola,0.0,0.0,100.0,0.0,45.0,0.0,,,,,0.0,0.0,1.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,OK,0.0,29.0,,,,Erreur,,,2,135,0,0,1,9,0.3,1.0,0.48
BOLENGE,11/09/2020,24,Zémio,Nola,6.0,0.0,,0.0,9.0,0.0,21,1,,,0.0,2.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,79.0,1.0,,,OK,,,0,2,0,13,9,30,0.0,0.84496124,1.0
BOLENGE,11/09/2020,33,Ouham,Nola,,0.0,60.0,0.0,88.0,,10,O,,,,2.0,0.0,,0.0,,Erreur,,,,OK,,,,,OK,Erreur,,,0.0,,,Erreur,,,0,62,1,0,0,0,0.0,1.0,0.121212121
MAKANZA,04/07/2020,31,Ouham,Nola,0.0,0.0,2.0,0.0,72.0,0.0,48,O,,,0.0,0.0,1.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,2.0,0.0,,,OK,,,141,3,3,73,0,6,0.0,,0.285714286
BIKORO,31/07/2020,38,Bozoum,Nola,0.0,0.0,76.0,3.0,4.0,1.0,13,O,,,12.0,0.0,0.0,,,0.0,Erreur,,,,OK,,1.0,,,Erreur,Erreur,0.0,19.0,1.0,,0.0,Erreur,,,0,94,0,0,1,5,0.0,0.742268041,0.166666667
INGENDE,02/09/2020,30,Ndélé,Nola,0.0,0.0,54.0,0.0,3.0,0.0,,1,,,16.0,0.0,0.0,,6.0,0.0,Erreur,,,,OK,,,,,OK,OK,,54.0,86.0,,0.0,Erreur,,,0,9,0,13,43,33,0.333333333,0.872180451,0.25
IREBU,15/09/2020,26,Ouham,Nola,0.0,0.0,0.0,0.0,91.0,1.0,10,O,,,20.0,0.0,0.0,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,0.0,,,,Erreur,,,113,140,1,130,64,25,0.0,0.909090909,0.685185185
,30/06/2020,38,Baoro,Nola,3.0,0.0,77.0,0.0,4.0,0.0,,,,,5.0,0.0,3.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,1.0,0.0,,,0.0,OK,,,125,85,1,82,85,17,0.0,1.0,0.257575758
MONIEKA,07/08/2020,31,Ouham,Nola,0.0,0.0,26.0,0.0,44.0,0.0,2,,,,9.0,0.0,3.0,,0.0,0.0,Erreur,,,0.0,OK,,,,,OK,Erreur,0.0,13.0,0.0,,,Erreur,,,6,140,0,0,0,7,1.0,1.0,0.875
LILANGA-BOBANGI,15/07/2020,35,Ombella-M'Poko,Nola,0.0,0.0,35.0,0.0,0.0,1.0,24,0,,,1.0,5.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,,39.0,37.0,,0.0,Erreur,,,125,0,0,0,44,2,0.0,1.0,0.216216216
LOLANGA-MAMPOKO,17/07/2020,24,Basse-Kotto,Nola,25.0,0.0,51.0,0.0,35.0,0.0,0,,,,5.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,0.0,46.0,48.0,,,Erreur,,,37,46,0,113,95,8,0.0,0.489130435,0.236220472
BOMONGO,08/07/2020,27,Bozoum,Nola,0.0,0.0,191.0,3.0,147.0,4.0,,,,,10.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,,,0.0,,0.0,Erreur,,,4,0,1,33,61,0,,0.935251799,0.083333333
BIKORO,28/07/2020,35,Baoro,Nola,,2.0,82.0,0.0,8.0,2.0,11,O,,,2.0,0.0,0.0,,0.0,,Erreur,,,,OK,,,,,OK,Erreur,,,33.0,,,Erreur,,,84,171,1,195,27,0,0.0,1.0,
MONIEKA,08/07/2020,38,Damara,Nola,0.0,0.0,2.0,0.0,85.0,1.0,,0,,,20.0,0.0,5.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,5.0,,,0.0,Erreur,,,81,0,0,52,69,20,,,
INGENDE,22/06/2020,28,Ouham,Nola,0.0,0.0,0.0,0.0,176.0,0.0,24,2,,,41.0,0.0,1.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,0.0,0.0,,0.0,Erreur,,,21,0,0,141,16,36,0.25,0.654411765,0.0
LOTUMBE,28/08/2020,32,Damara,Nola,16.0,0.0,36.0,0.0,131.0,0.0,14,1,,,16.0,0.0,0.0,,,0.0,Erreur,,,,OK,,,,,OK,Erreur,,,1.0,1.0,0.0,OK,,,2,26,0,0,29,0,0.5,1.0,0.482142857
INGENDE,29/06/2020,35,Bozoum,Nola,0.0,0.0,0.0,0.0,194.0,2.0,15,O,,,22.0,1.0,0.0,,0.0,,Erreur,,,,OK,,,,,OK,OK,0.0,,1.0,,,Erreur,,,127,7,0,48,0,1,,1.0,1.0
MAKANZA,22/08/2020,23,Zémio,Nola,11.0,0.0,85.0,0.0,0.0,2.0,0,1,,,7.0,2.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,20.0,,,0.0,Erreur,,,1,110,0,0,195,58,0.0,,0.0
LOTUMBE,30/08/2020,36,Ouham,Nola,4.0,,,0.0,21.0,0.0,11,,,,2.0,3.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,59.0,0.0,,0.0,Erreur,,,80,4,0,53,48,0,0.0,0.489130435,0.45045045
MAKANZA,07/09/2020,34,Zémio,Nola,17.0,0.0,49.0,0.0,109.0,,3,1,,,0.0,0.0,1.0,,0.0,,Erreur,,,,Erreur,,,,,Erreur,Erreur,,27.0,3.0,,0.0,Erreur,,,0,0,0,0,154,20,0.0,0.834319527,
LOLANGA-MAMPOKO,07/06/2020,26,Bozoum,Nola,0.0,0.0,0.0,0.0,0.0,0.0,48,,,,0.0,0.0,0.0,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,42.0,53.0,,,OK,,,57,58,0,71,106,18,,0.976744186,0.708333333
DJOMBO,05/08/2020,25,Mbaiki,Nola,0.0,0.0,77.0,0.0,51.0,0.0,13,,,,12.0,0.0,3.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,1.0,,10.0,,,OK,,,3,35,0,50,76,0,0.180952381,1.0,1.0
MBANDAKA,06/08/2020,37,Mbaiki,Nola,0.0,0.0,0.0,0.0,0.0,0.0,6,1,,,2.0,1.0,1.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,51.0,,,,Erreur,,,11,0,0,65,14,8,0.0,0.85483871,0.72972973
BOLOMBA,13/09/2020,35,Mbaiki,Nola,0.0,,43.0,0.0,29.0,,13,1,,,16.0,0.0,2.0,,0.0,,Erreur,,,,OK,,,,,Erreur,OK,,,0.0,,0.0,OK,,,29,0,0,5,0,0,0.0,,1.0
MONIEKA,13/07/2020,29,Ouham,Nola,0.0,,50.0,2.0,5.0,0.0,24,2,,,1.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,18.0,,,0.0,OK,,,0,73,0,0,0,1,0.316666667,,0.118644068
IBOKO,04/09/2020,36,Zémio,Nola,0.0,0.0,83.0,0.0,60.0,0.0,24,1,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,50.0,,,,Erreur,,,56,68,0,73,0,0,0.0,0.666666667,
BOLENGE,24/06/2020,32,Bozoum,Nola,0.0,0.0,39.0,0.0,6.0,0.0,17,O,,,1.0,0.0,4.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,1.0,16.0,1.0,,,OK,,,0,0,0,52,21,24,0.0,,
IBOKO,27/08/2020,33,Baoro,Nola,0.0,0.0,,0.0,45.0,0.0,28,1,,,46.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,2.0,0.0,,,Erreur,,,0,46,0,22,11,0,0.0,0.39047619,0.409090909
LOTUMBE,22/06/2020,34,Basse-Kotto,Nola,2.0,0.0,44.0,3.0,129.0,1.0,24,1,,,0.0,0.0,0.0,,8.0,0.0,Erreur,,,,Erreur,,,,,OK,OK,,,0.0,,,Erreur,,,0,0,2,91,473,1,0.268292683,1.0,0.291666667
INGENDE,15/06/2020,39,Ouham,Nola,2.0,0.0,38.0,1.0,25.0,0.0,11,1,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,0.0,65.0,,,,Erreur,,,141,0,4,32,41,11,,1.0,0.185185185
MONIEKA,08/08/2020,32,Mbaiki,Nola,0.0,0.0,31.0,0.0,27.0,1.0,11,2,,,9.0,0.0,2.0,,,0.0,Erreur,,,,OK,,,,,OK,Erreur,,9.0,0.0,0.0,0.0,OK,,,6,164,4,9,47,0,0.0,,0.05
BIKORO,09/09/2020,36,Zémio,Nola,1.0,0.0,6.0,0.0,38.0,1.0,0,1,,,17.0,3.0,0.0,,8.0,,Erreur,,,,OK,,,,,OK,OK,0.0,55.0,0.0,,,Erreur,,,0,0,0,0,158,5,0.0,1.0,0.222222222
LILANGA-BOBANGI,26/08/2020,36,Bozoum,Nola,20.0,0.0,35.0,2.0,41.0,1.0,24,1,,,14.0,,0.0,,,0.0,OK,,,,Erreur,,,,1.0,Erreur,Erreur,0.0,,30.0,,,Erreur,,,2,0,2,60,48,48,,,
LUKOLELA,23/09/2020,37,Ndélé,Nola,49.0,0.0,29.0,0.0,15.0,0.0,17,,,,,4.0,0.0,,0.0,0.0,Erreur,,,0.0,Erreur,,,,,Erreur,Erreur,0.0,18.0,13.0,,0.0,Erreur,,,48,74,0,28,69,0,0.0,0.46031746,0.073333333
LOLANGA-MAMPOKO,10/06/2020,37,Mbaiki,Nola,0.0,0.0,7.0,,2.0,0.0,6,1,,,29.0,0.0,0.0,,0.0,,Erreur,,,,OK,,,,,Erreur,Erreur,,23.0,0.0,,0.0,Erreur,,,49,9,3,13,0,0,,0.267857143,0.2
DJOMBO,28/08/2020,34,Berberati,Nola,0.0,0.0,,0.0,,0.0,6,2,,,10.0,0.0,,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,2.0,,51.0,,0.0,Erreur,,,66,225,1,0,88,1,,0.196721311,0.393258427
BIKORO,03/08/2020,27,Berberati,Nola,0.0,0.0,41.0,0.0,34.0,1.0,20,O,,,0.0,,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,1.0,OK,Erreur,,,0.0,0.0,0.0,Erreur,,,1,13,0,53,29,9,0.0,1.0,
BIKORO,08/07/2020,25,Damara,Nola,1.0,1.0,0.0,0.0,8.0,,13,,,,8.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,,70.0,27.0,,0.0,Erreur,,,0,12,5,32,0,7,0.0,,1.0
BOMONGO,11/09/2020,30,Zémio,Nola,9.0,0.0,1.0,,8.0,0.0,1,O,,,0.0,0.0,3.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,1.0,,,0.0,,Erreur,,,0,194,0,0,34,7,0.0,1.0,0.161290323
BOLOMBA,10/08/2020,29,Ouham,Nola,0.0,0.0,0.0,0.0,4.0,,9,,,,17.0,1.0,0.0,,0.0,,Erreur,,,,Erreur,,,,,Erreur,Erreur,0.0,2.0,39.0,,0.0,Erreur,,,78,123,0,9,39,19,0.0,0.252873563,0.114285714
LOLANGA-MAMPOKO,31/08/2020,28,Baoro,Nola,3.0,0.0,58.0,,,0.0,1,2,,,21.0,0.0,0.0,,,0.0,Erreur,,,,OK,,,,,OK,Erreur,,,91.0,,0.0,Erreur,,,16,7,1,46,21,6,0.0,1.0,1.0
BIKORO,25/07/2020,26,Mbaiki,Nola,,0.0,8.0,1.0,143.0,,O,,,,26.0,1.0,0.0,,,0.0,OK,,,,OK,,,,,Erreur,OK,0.0,,16.0,,,Erreur,,,0,17,2,60,75,29,0.0,,
LOTUMBE,17/08/2020,27,Zémio,Nola,0.0,0.0,0.0,0.0,0.0,2.0,24,0,,,,0.0,6.0,,0.0,,Erreur,,,,Erreur,,,,,Erreur,OK,,,7.0,,0.0,Erreur,,,114,204,7,0,137,21,,1.0,0.170731707
BOMONGO,04/08/2020,23,Baoro,Nola,0.0,0.0,4.0,6.0,0.0,0.0,14,1,,,19.0,0.0,3.0,,,0.0,Erreur,,,,OK,,0.0,,,OK,Erreur,0.0,65.0,,,0.0,Erreur,,,0,0,0,171,125,16,,1.0,0.25
WANGATA,13/09/2020,33,Damara,Nola,37.0,0.0,147.0,0.0,20.0,0.0,9,1,,,18.0,1.0,0.0,,0.0,,Erreur,,,,OK,,,,,OK,Erreur,0.0,,1.0,,0.0,OK,,,0,1,1,37,72,10,0.0,1.0,0.264705882
LILANGA-BOBANGI,20/07/2020,29,Mbaiki,Nola,0.0,0.0,1.0,4.0,8.0,0.0,26,1,,,50.0,1.0,3.0,,0.0,2.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,0.0,63.0,,0.0,Erreur,,,0,0,0,30,3,0,0.0,0.983739837,0.17877095
MBANDAKA,23/09/2020,32,Mbaiki,Nola,0.0,0.0,15.0,3.0,48.0,0.0,9,,,,1.0,,4.0,,0.0,,Erreur,,,,OK,,,,,Erreur,Erreur,,,0.0,,0.0,Erreur,,,0,7,0,38,0,0,0.0,1.0,0.224137931
BOMONGO,07/07/2020,33,Bozoum,Nola,,0.0,119.0,,0.0,2.0,1,2,,,10.0,0.0,0.0,,0.0,,Erreur,,,,OK,,,,,Erreur,OK,0.0,,,,,OK,,,9,137,2,37,8,0,,1.0,0.5
MBANDAKA,19/08/2020,27,Ouham,Nola,0.0,0.0,40.0,0.0,20.0,0.0,15,2,,,28.0,2.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,1.0,,,Erreur,OK,,47.0,0.0,,0.0,OK,,,3,11,0,77,11,6,0.0,0.891891892,0.304347826
LOLANGA-MAMPOKO,18/08/2020,26,Baoro,Nola,0.0,3.0,65.0,0.0,45.0,1.0,24,2,,,0.0,0.0,1.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,,3.0,,0.0,Erreur,,,52,0,0,40,0,18,0.0,0.742424242,0.3
INGENDE,11/07/2020,27,Mbaiki,Nola,0.0,0.0,179.0,0.0,0.0,0.0,3,,,,4.0,1.0,2.0,,0.0,0.0,Erreur,,,,Erreur,,,0.0,,Erreur,Erreur,0.0,16.0,38.0,,,Erreur,,,22,68,0,37,0,0,,0.740740741,0.13253012
MAKANZA,22/08/2020,27,Bozoum,Nola,0.0,3.0,53.0,1.0,0.0,0.0,1,,,,49.0,0.0,0.0,,5.0,0.0,Erreur,,,,OK,,3.0,,,OK,OK,0.0,45.0,1.0,,0.0,Erreur,,,0,113,1,83,0,0,,,0.142857143
INGENDE,11/09/2020,35,Mbaiki,Nola,0.0,0.0,17.0,0.0,44.0,0.0,26,,,,21.0,1.0,0.0,,0.0,,Erreur,,,,OK,,,,,OK,Erreur,,29.0,1.0,,,Erreur,,,28,126,9,71,137,0,0.0,1.0,
,19/08/2020,37,Ouham,Nola,0.0,0.0,0.0,1.0,44.0,0.0,21,1,,,4.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,12.0,6.0,,0.0,OK,,,29,0,0,172,72,79,0.0,0.642857143,0.292993631
LOTUMBE,19/09/2020,31,Bozoum,Nola,5.0,0.0,8.0,0.0,9.0,,0,2,,,8.0,0.0,5.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,109.0,,,,Erreur,,,0,0,1,0,80,4,0.571428571,0.90625,0.220338983
BOLENGE,17/07/2020,32,Mbaiki,Nola,0.0,0.0,26.0,0.0,10.0,0.0,6,1,,,2.0,0.0,26.0,,7.0,0.0,OK,,,,OK,,,,,Erreur,Erreur,0.0,24.0,3.0,0.0,,Erreur,,,0,48,0,116,7,6,0.0,1.0,
BIKORO,08/08/2020,38,Bozoum,Nola,0.0,0.0,27.0,1.0,12.0,0.0,1,,,,1.0,9.0,0.0,,0.0,,Erreur,,,,Erreur,,,,,Erreur,Erreur,,0.0,59.0,,,Erreur,,,263,235,0,82,0,0,,0.78125,
BIKORO,16/08/2020,32,Baoro,Nola,455.0,0.0,2.0,1.0,10.0,0.0,17,,,,0.0,1.0,0.0,,,0.0,Erreur,4.0,,,OK,,,,,OK,Erreur,0.0,34.0,0.0,,,Erreur,,,0,129,0,5,94,1,,0.636363636,0.035294118
MBANDAKA,31/08/2020,27,Ombella-M'Poko,Nola,1.0,0.0,70.0,1.0,0.0,3.0,3,,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,1.0,,,OK,OK,0.0,20.0,65.0,,0.0,OK,,,85,60,1,82,6,3,0.0,0.52,0.296296296
IREBU,27/06/2020,39,Ombella-M'Poko,Nola,0.0,0.0,0.0,1.0,149.0,0.0,14,O,,,3.0,,7.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,OK,,26.0,8.0,,0.0,Erreur,,,44,13,2,198,68,12,0.0,,0.285714286
WANGATA,20/09/2020,33,Mbaiki,Nola,0.0,0.0,93.0,6.0,0.0,0.0,8,1,,,9.0,0.0,0.0,,0.0,0.0,OK,19.0,,,OK,,,,,OK,Erreur,0.0,70.0,,,0.0,Erreur,,,0,132,2,361,33,5,,1.0,
BOLENGE,24/09/2020,26,Batangafo,Nola,17.0,0.0,29.0,6.0,13.0,0.0,3,1,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,3.0,,,OK,OK,0.0,0.0,0.0,,,Erreur,,,108,74,0,69,2,16,,0.647058824,0.448979592
MONIEKA,10/08/2020,35,Bozoum,Nola,10.0,1.0,1.0,1.0,29.0,1.0,8,1,,,26.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,2.0,OK,Erreur,0.0,37.0,,,,Erreur,,,149,3,3,73,87,16,0.0,0.661971831,0.170731707
MONIEKA,10/08/2020,34,Bozoum,Nola,0.0,0.0,53.0,1.0,73.0,0.0,11,,,,15.0,0.0,2.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,56.0,0.0,,,OK,,,60,79,0,0,0,25,0.0,1.0,0.31547619
LOLANGA-MAMPOKO,25/08/2020,33,Berberati,Nola,27.0,0.0,81.0,2.0,9.0,0.0,4,1,,,0.0,3.0,1.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,52.0,,,,Erreur,,,0,0,0,103,42,46,1.0,0.568,0.777777778
BOLENGE,21/07/2020,38,Mbaiki,Nola,29.0,0.0,0.0,2.0,3.0,1.0,,0,,,,4.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,9.0,,,0.0,Erreur,,,16,0,2,77,37,0,0.0,1.0,1.0
INGENDE,11/09/2020,36,Bozoum,Nola,6.0,0.0,76.0,0.0,49.0,0.0,24,1,,,26.0,0.0,0.0,,0.0,0.0,Erreur,,,0.0,OK,,,,,Erreur,OK,0.0,,0.0,,65.0,Erreur,,,1,0,0,10,9,5,,0.881578947,
IREBU,05/07/2020,24,Bozoum,Nola,0.0,0.0,38.0,0.0,74.0,4.0,13,2,,,2.0,3.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,,45.0,1.0,,,OK,,,55,68,0,13,61,22,,1.0,0.135416667
MONIEKA,23/09/2020,35,Ouham,Nola,37.0,0.0,57.0,3.0,44.0,0.0,,,,,58.0,0.0,2.0,,0.0,,Erreur,,,,Erreur,,,,,Erreur,Erreur,,,50.0,,,Erreur,,,87,56,0,0,0,7,0.0,0.930232558,0.262411348
IBOKO,16/08/2020,29,Berberati,Nola,0.0,0.0,38.0,0.0,128.0,0.0,17,2,,,18.0,0.0,1.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,Erreur,0.0,0.0,,,,OK,,,69,96,0,30,0,0,0.0,0.69375,1.0
MBANDAKA,28/07/2020,32,Ouham,Nola,0.0,0.0,74.0,0.0,0.0,2.0,17,O,,,5.0,0.0,3.0,,,0.0,Erreur,,,,Erreur,,,,,OK,OK,,56.0,0.0,,,Erreur,,,0,63,0,0,58,11,,1.0,0.180952381
BOLOMBA,05/07/2020,34,Zémio,Nola,0.0,0.0,7.0,1.0,27.0,0.0,14,0,,,0.0,4.0,,,0.0,,OK,,,,OK,,,,,OK,Erreur,0.0,26.0,0.0,,0.0,OK,,,124,28,0,0,86,11,0.0,1.0,
,24/09/2020,34,Bozoum,Nola,8.0,0.0,35.0,0.0,104.0,2.0,6,0,,,11.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,0.0,,,,Erreur,,,10,15,2,6,0,11,,0.153846154,0.545454545
,15/08/2020,32,Ouham,Nola,31.0,0.0,6.0,0.0,,1.0,17,2,,,3.0,3.0,9.0,,0.0,0.0,Erreur,,,,OK,,,,1.0,OK,Erreur,0.0,,,,0.0,OK,,,24,81,1,38,9,3,,0.983193277,0.19047619
MONIEKA,23/06/2020,32,Bozoum,Nola,0.0,0.0,4.0,0.0,92.0,1.0,9,1,,,7.0,0.0,3.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,46.0,,,OK,,,46,34,1,112,16,4,0.0,,0.3
BOLOMBA,08/09/2020,38,Mbaiki,Nola,5.0,0.0,79.0,0.0,8.0,3.0,14,,,,3.0,2.0,0.0,,4.0,0.0,Erreur,,,,Erreur,,,,,OK,Erreur,0.0,20.0,45.0,,,Erreur,,,0,1,0,0,42,0,0.0,0.857142857,
NTONDO,15/07/2020,34,Ouham,Nola,5.0,0.0,132.0,2.0,107.0,3.0,11,1,,,10.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,0.0,,,0.0,Erreur,,,64,116,0,58,59,0,0.0,1.0,
MBANDAKA,17/08/2020,28,Bozoum,Nola,6.0,0.0,0.0,0.0,15.0,0.0,10,,,,39.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,0.0,,27.0,,,Erreur,,,3,15,0,0,0,15,0.0,0.5,
IREBU,10/08/2020,39,Mbaiki,Nola,0.0,0.0,46.0,2.0,2.0,2.0,17,O,,,1.0,0.0,0.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,OK,0.0,,,,0.0,Erreur,,,0,0,1,76,46,10,,0.583333333,0.388888889
DJOMBO,05/08/2020,38,Bozoum,Nola,0.0,0.0,,0.0,121.0,0.0,10,O,,,0.0,1.0,0.0,,0.0,,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,,0.0,,,Erreur,,,18,132,0,54,0,2,0.0,1.0,0.12244898
LOLANGA-MAMPOKO,12/08/2020,37,Baoro,Nola,24.0,0.0,110.0,0.0,14.0,0.0,15,1,,,,2.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,Erreur,,18.0,41.0,,0.0,Erreur,,,187,59,1,180,82,2,,0.931034483,0.2
BOMONGO,05/07/2020,26,Ouham,Nola,0.0,0.0,15.0,3.0,7.0,0.0,,1,,,0.0,2.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,9.0,0.0,,0.0,Erreur,,,8,2,0,27,0,9,0.9375,,0.23566879
LOLANGA-MAMPOKO,15/08/2020,30,Berberati,Nola,0.0,0.0,173.0,0.0,128.0,0.0,1,,,,0.0,,0.0,,0.0,0.0,OK,,,,Erreur,,,,,Erreur,OK,,,0.0,,0.0,Erreur,,,11,74,1,117,9,18,0.0,0.0,0.583333333
IBOKO,05/08/2020,28,Ouham,Nola,1.0,0.0,0.0,3.0,53.0,0.0,14,1,,,6.0,0.0,0.0,,,4.0,Erreur,,,,OK,,,,,OK,Erreur,,0.0,15.0,,0.0,Erreur,,,0,42,0,2,8,0,,1.0,0.226415094
MONIEKA,13/07/2020,24,Zémio,Nola,0.0,0.0,55.0,1.0,9.0,0.0,11,1,,,,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,Erreur,0.0,40.0,135.0,,,Erreur,,,33,2,0,35,2,6,0.0,0.893617021,1.0
IREBU,20/08/2020,31,Berberati,Nola,0.0,0.0,39.0,1.0,33.0,0.0,15,1,,,7.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,41.0,59.0,,0.0,Erreur,,,50,93,0,125,114,0,,1.0,0.133333333
IREBU,11/08/2020,36,Baoro,Nola,0.0,0.0,264.0,0.0,3.0,2.0,14,O,,,2.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,,,0.0,,,Erreur,,,120,1,0,0,4,0,0.0,0.848484848,0.416666667
