country,sex,age_min,age_max,deaths,asof,nat.reg,continent
Austria,M,50,29,1.0,07/09/2020,nat,Asia
Romania,M,25,34,46.0,13/09/2020,reg,Africa
Algeria,M,15,19,4290.0,19/09/2020,reg,North America
Latvia,F,60,39,0.0,11/09/2020,reg,Europe
Greece,M,10,84,6.0,11/02/2020,reg,Europe
Greece,M,45,74,8421.0,27/07/2020,reg,Europe
Jordan,M,65,49,2.0,16/09/2020,reg,Africa
Austria,M,10,4,199.0,11/06/2020,reg,North America
Venezuela,M,50,19,1344.0,07/09/2020,reg,Africa
Australia,F,60,24,312.0,15/09/2020,reg,Europe
Greece,F,60,49,21.0,20/09/2020,nat,Asia
Costa Rica,F,0,59,48.0,28/05/2020,reg,Europe
Serbia,M,40,89,1.0,21/05/2020,nat,South America
Colombia,M,20,44,1881.0,30/06/2020,reg,Asia
Armenia,F,20,64,849.0,21/05/2020,reg,Africa
Venezuela,F,20,110,68.0,27/07/2020,reg,North America
Cuba,M,20,49,2618.0,11/06/2020,reg,Europe
Brazil,F,70,89,121.0,18/09/2020,reg,Asia
Liechtenstein,F,20,110,761.0,30/06/2020,reg,Europe
Austria,F,55,24,62.0,07/09/2020,reg,South America
Latvia,F,90,74,0.0,16/09/2020,nat,Europe
South Korea,M,80,89,1107.0,16/09/2020,nat,Africa
North Macedonia,M,50,74,11.0,27/07/2020,reg,Africa
Slovenia,M,30,39,85.0,21/05/2020,reg,North America
Algeria,F,55,19,1.0,20/09/2020,reg,Asia
Cuba,F,80,19,23.0,30/06/2020,nat,North America
Slovenia,M,75,39,582.0,18/09/2020,nat,Asia
Venezuela,F,20,44,0.0,27/07/2020,reg,Europe
Bosnia & Herzegovina,M,70,69,21.0,27/07/2020,nat,North America
New Zealand,F,1,19,3135.0,11/02/2020,reg,Europe
Austria,F,50,19,248.0,16/09/2020,reg,Asia
Brazil,F,40,34,96.0,29/05/2020,reg,Europe
Greece,F,40,49,0.0,19/09/2020,reg,North America
Tajikistan,B,0,9,37.0,19/09/2020,nat,Europe
Colombia,M,40,39,26.0,15/09/2020,reg,Africa
North Macedonia,M,55,59,1.0,11/06/2020,nat,Asia
Bosnia & Herzegovina,F,70,79,78.0,13/09/2020,reg,Africa
Slovenia,F,25,34,0.0,18/09/2020,reg,Africa
Bosnia & Herzegovina,M,70,84,2459.0,11/06/2020,reg,Europe
Peru,M,70,29,4.0,11/06/2020,nat,Europe
South Korea,M,60,39,3.0,03/06/2020,reg,North America
Cuba,F,25,29,111.0,11/06/2020,reg,Europe
Slovenia,M,45,44,739.0,21/05/2020,reg,North America
Austria,F,80,39,39.0,18/09/2020,nat,Europe
Greece,F,0,110,22.0,11/06/2020,reg,Africa
Latvia,M,50,84,0.0,18/09/2020,reg,Asia
Greece,M,60,4,9.0,11/06/2020,reg,Europe
Venezuela,M,0,59,70.0,18/09/2020,reg,North America
North Macedonia,F,60,39,1384.0,11/06/2020,nat,Europe
Liechtenstein,M,35,49,0.0,11/02/2020,reg,Asia
Greece,M,80,49,83.0,11/06/2020,nat,Asia
South Korea,M,10,29,0.0,19/09/2020,reg,Europe
Latvia,M,90,44,2159.0,27/07/2020,reg,Africa
Greece,M,10,59,0.0,11/06/2020,reg,Europe
Spain,M,45,4,4630.0,11/06/2020,nat,Africa
Armenia,M,0,74,5348.0,30/06/2020,reg,Africa
Greece,F,0,29,0.0,19/09/2020,nat,Europe
Spain,M,20,34,1129.0,20/09/2020,reg,Europe
Venezuela,M,60,59,0.0,21/05/2020,reg,Europe
Slovakia,F,15,19,44.0,04/07/2020,reg,Africa
Armenia,M,20,39,108.0,11/06/2020,reg,Asia
Lebanon,F,85,29,334.0,27/07/2020,reg,South America
Australia,B,80,39,1.0,21/05/2020,reg,Europe
Moldova,M,0,69,240.0,19/09/2020,reg,Africa
Bosnia & Herzegovina,M,20,34,7.0,30/06/2020,reg,Africa
Austria,M,50,59,0.0,16/09/2020,reg,South America
Egypt,F,65,59,1.0,18/09/2020,reg,Asia
Bulgaria,F,60,44,1129.0,21/05/2020,reg,Europe
Dominican Republic,M,45,9,10.0,21/05/2020,reg,Europe
Egypt,F,20,29,0.0,27/07/2020,reg,Africa
Peru,M,0,49,25.0,16/09/2020,nat,South America
Costa Rica,F,20,79,0.0,21/05/2020,reg,Europe
Slovakia,M,25,74,0.0,07/09/2020,nat,Europe
Armenia,M,60,110,3195.0,29/05/2020,reg,South America
Romania,F,85,69,3.0,21/05/2020,nat,Europe
Liechtenstein,F,85,110,8.0,04/07/2020,nat,Europe
Liechtenstein,F,10,54,230.0,04/07/2020,reg,Africa
Liechtenstein,F,0,110,20.0,15/09/2020,reg,Europe
Peru,F,90,69,4.0,11/02/2020,reg,Europe
Latvia,M,50,84,2565.0,11/02/2020,nat,Asia
Spain,M,45,39,0.0,16/09/2020,reg,Europe
Georgia,F,25,110,109.0,19/09/2020,reg,Europe
Peru,M,80,84,940.0,20/09/2020,nat,Asia
Kazakhstan,M,15,44,2715.0,20/09/2020,reg,Europe
Thailand,M,0,64,37.0,19/09/2020,reg,North America
Bosnia & Herzegovina,M,0,34,46.0,29/05/2020,nat,Asia
Georgia,M,85,14,3.0,27/07/2020,reg,Europe
Egypt,M,0,110,1.0,20/09/2020,reg,Africa
Lebanon,B,30,14,1494.0,15/09/2020,reg,Asia
Colombia,M,0,54,67.0,29/05/2020,reg,Europe
Thailand,F,85,59,0.0,11/06/2020,reg,Africa
Colombia,M,75,44,240.0,18/09/2020,reg,South America
Spain,F,75,14,28.0,11/06/2020,reg,Asia
Cyprus,M,0,69,0.0,28/05/2020,reg,Europe
Bosnia & Herzegovina,F,65,24,0.0,29/05/2020,reg,Europe
Slovakia,M,85,110,3.0,16/09/2020,reg,Asia
Venezuela,M,55,29,861.0,18/09/2020,nat,North America
Colombia,F,80,14,41.0,11/02/2020,reg,Asia
Belgium,F,30,84,0.0,21/05/2020,reg,Africa
Romania,F,50,64,0.0,16/09/2020,reg,Europe
Costa Rica,M,45,39,29.0,21/05/2020,reg,Asia
Serbia,M,15,59,1.0,30/06/2020,reg,South America
Cyprus,M,35,24,9.0,21/05/2020,reg,Africa
Lebanon,M,25,9,461.0,19/09/2020,nat,Asia
Cuba,F,65,110,0.0,27/07/2020,reg,Europe
Bosnia & Herzegovina,M,50,49,23185.0,07/09/2020,reg,Asia
Egypt,M,10,9,0.0,11/06/2020,reg,Asia
Slovakia,F,55,64,274.0,21/05/2020,reg,Asia
Bosnia & Herzegovina,M,20,19,1129.0,20/09/2020,reg,North America
Greece,M,65,110,4.0,04/07/2020,nat,Asia
Slovenia,F,60,59,469.0,29/05/2020,reg,Africa
Slovenia,M,20,29,239.0,11/09/2020,reg,Europe
Colombia,M,85,29,133.0,29/05/2020,nat,Europe
Bosnia & Herzegovina,M,60,9,1.0,19/09/2020,nat,Asia
Spain,M,35,84,19.0,16/09/2020,nat,South America
Dominican Republic,M,55,89,615.0,30/06/2020,nat,Europe
Cuba,M,40,54,52.0,11/06/2020,reg,Europe
Colombia,M,10,4,1422.0,11/09/2020,reg,South America
Latvia,M,80,49,0.0,27/07/2020,nat,Asia
Egypt,B,0,9,230.0,11/06/2020,reg,Africa
Moldova,M,45,44,957.0,20/09/2020,reg,North America
South Korea,F,50,39,1910.0,11/06/2020,nat,Africa
Venezuela,F,30,110,16.0,16/09/2020,reg,Europe
Liechtenstein,M,40,39,3.0,19/09/2020,reg,Europe
Algeria,M,40,110,100.0,03/06/2020,reg,Africa
Slovenia,B,30,79,5819.0,18/09/2020,nat,North America
Armenia,M,60,59,90.0,11/06/2020,nat,South America
Georgia,F,20,79,70.0,11/06/2020,reg,North America
Georgia,F,0,39,27407.0,04/07/2020,reg,Europe
Liechtenstein,F,30,74,138.0,27/07/2020,reg,Europe
Slovakia,M,80,44,23.0,20/09/2020,reg,Europe
North Macedonia,M,50,54,234.0,27/07/2020,reg,Asia
Iran,M,70,69,2.0,20/09/2020,nat,Europe
Bosnia & Herzegovina,M,0,34,2.0,27/07/2020,reg,Europe
Philippines,B,0,9,131.0,04/07/2020,reg,Europe
North Macedonia,M,55,110,2.0,30/06/2020,nat,Asia
Slovenia,M,50,24,3286.0,11/06/2020,reg,Africa
Costa Rica,F,45,59,2114.0,27/07/2020,nat,Africa
Slovakia,M,0,19,0.0,11/06/2020,reg,Europe
Brazil,M,60,34,0.0,19/09/2020,reg,South America
Cyprus,F,45,39,406.0,19/09/2020,nat,Europe
Armenia,F,50,49,116.0,30/06/2020,reg,Europe
Belgium,F,60,39,27.0,19/09/2020,nat,Europe
Liechtenstein,F,40,39,487.0,29/05/2020,reg,Europe
Cuba,M,0,39,1384.0,19/09/2020,reg,North America
Cuba,M,40,39,0.0,11/06/2020,reg,North America
Latvia,F,15,54,1.0,16/09/2020,reg,Africa
Thailand,M,65,110,25.0,18/09/2020,nat,Europe
Cuba,M,45,89,309.0,27/07/2020,reg,South America
Greece,M,60,79,18.0,19/09/2020,nat,Europe
Cyprus,B,35,110,19.0,19/09/2020,reg,North America
Greece,F,25,110,1961.0,04/07/2020,reg,Africa
Armenia,M,95,64,5.0,19/09/2020,reg,Asia
Venezuela,M,5,29,0.0,20/09/2020,reg,Africa
Egypt,F,60,14,652.0,30/06/2020,nat,Europe
South Korea,M,55,59,27407.0,04/07/2020,reg,Asia
New Zealand,F,15,39,1253.0,19/09/2020,reg,Africa
Dominican Republic,B,20,49,13.0,18/09/2020,reg,Africa
Austria,M,70,44,0.0,21/05/2020,reg,Europe
Costa Rica,M,60,4,186.0,16/09/2020,reg,Europe
South Korea,M,55,84,3.0,11/02/2020,reg,North America
Armenia,B,30,19,18.0,11/06/2020,reg,Asia
Slovenia,F,30,24,150.0,19/09/2020,nat,Asia
Spain,F,80,39,69.0,11/02/2020,reg,Asia
Peru,M,5,44,1452.0,18/09/2020,nat,Asia
Peru,F,70,69,99.0,20/09/2020,reg,Europe
Peru,B,50,69,5593.0,21/05/2020,reg,North America
Cuba,F,45,69,229.0,11/06/2020,reg,Asia
Tajikistan,F,10,39,246.0,11/06/2020,reg,Asia
Liechtenstein,F,10,39,13.0,27/07/2020,reg,Asia
Thailand,M,30,49,28.0,28/05/2020,reg,Africa
New Zealand,M,15,110,21.0,20/09/2020,reg,Asia
Costa Rica,F,15,49,1.0,29/05/2020,nat,South America
Egypt,M,30,59,6556.0,13/09/2020,reg,North America
South Korea,F,90,74,0.0,07/09/2020,reg,Europe
Slovenia,M,60,29,1824.0,20/09/2020,reg,North America
Pakistan,M,20,94,289.0,11/02/2020,reg,Asia
Iran,M,15,110,0.0,16/09/2020,reg,North America
Spain,M,75,17,17.0,30/06/2020,reg,North America
Bosnia & Herzegovina,M,90,44,0.0,19/09/2020,reg,Africa
Australia,M,80,49,665.0,15/09/2020,nat,Africa
Australia,M,90,34,719.0,01/07/2020,reg,Africa
Georgia,F,65,39,47.0,11/09/2020,reg,Africa
North Macedonia,M,90,64,273.0,04/07/2020,reg,North America
Cuba,M,40,69,142.0,21/05/2020,nat,Europe
Georgia,M,0,89,1402.0,30/06/2020,nat,Africa
Venezuela,B,75,24,4.0,01/07/2020,reg,South America
New Zealand,M,15,59,1.0,11/06/2020,reg,Africa
Monaco,M,70,59,1.0,13/09/2020,reg,Asia
Armenia,F,90,110,238.0,07/09/2020,reg,North America
Slovakia,M,85,9,107.0,30/06/2020,nat,Europe
Austria,M,65,9,488.0,03/06/2020,nat,Europe
Iran,M,5,29,1.0,07/09/2020,reg,Europe
Serbia,M,40,49,10.0,11/06/2020,reg,Europe
Colombia,M,80,19,378.0,01/07/2020,reg,Europe
Greece,F,45,54,16.0,19/09/2020,nat,Asia
Austria,M,0,79,487.0,20/09/2020,reg,Europe
Armenia,M,85,79,0.0,21/05/2020,reg,Europe
Slovenia,M,90,59,99.0,19/09/2020,reg,Europe
Liechtenstein,F,60,54,7.0,16/09/2020,nat,Asia
Finland,F,0,19,43.0,01/07/2020,reg,Asia
Israel,M,70,49,0.0,27/07/2020,reg,Africa
Slovakia,M,50,99,0.0,20/09/2020,reg,Europe
Greece,F,0,44,6.0,07/09/2020,nat,Europe
Slovenia,F,70,49,20.0,04/07/2020,reg,Africa
Bosnia & Herzegovina,M,45,74,785.0,18/09/2020,reg,Europe
Guernsey,M,80,110,8.0,19/09/2020,nat,Asia
Armenia,M,30,69,1720.0,11/06/2020,reg,Europe
Spain,M,0,24,0.0,18/09/2020,nat,Asia
Finland,F,1,64,3.0,13/09/2020,reg,Europe
South Korea,F,5,29,27407.0,19/09/2020,reg,Africa
Costa Rica,F,30,4,0.0,18/09/2020,reg,North America
New Zealand,F,55,4,461.0,16/09/2020,reg,Asia
Romania,M,80,9,10.0,27/07/2020,reg,South America
Greece,M,10,9,4630.0,20/09/2020,reg,Europe
Lebanon,F,45,79,3.0,01/07/2020,reg,Europe
Iran,F,18,69,93.0,15/09/2020,reg,Asia
Pakistan,M,90,29,43.0,04/07/2020,reg,Asia
Latvia,M,75,19,5.0,16/09/2020,reg,Africa
Monaco,F,1,9,13.0,20/09/2020,reg,North America
Monaco,M,15,69,20.0,20/09/2020,reg,North America
Liechtenstein,M,10,69,4369.0,21/05/2020,nat,Asia
Bosnia & Herzegovina,F,35,89,1269.0,18/09/2020,nat,Europe
Iran,M,40,89,92.0,01/07/2020,reg,Europe
Moldova,F,50,94,16.0,13/09/2020,reg,North America
Slovakia,M,15,19,884.0,20/09/2020,reg,North America
Slovenia,M,30,19,257.0,19/09/2020,reg,Europe
Venezuela,M,0,49,156.0,19/09/2020,reg,Africa
Spain,M,10,74,13.0,19/09/2020,reg,Asia
Bosnia & Herzegovina,M,70,110,0.0,19/09/2020,reg,Africa
Austria,F,20,69,0.0,21/05/2020,reg,Africa
Portugal,M,25,59,9.0,11/06/2020,reg,Europe
Moldova,F,70,69,6442.0,11/09/2020,reg,South America
Georgia,F,60,39,2.0,20/09/2020,reg,Europe
Egypt,F,85,69,6.0,03/06/2020,reg,Europe
New Zealand,F,70,69,7.0,01/07/2020,nat,North America
Austria,M,60,59,0.0,04/07/2020,reg,Asia
Pakistan,M,85,44,4893.0,07/09/2020,reg,Europe
Peru,F,10,9,75.0,11/06/2020,reg,South America
Colombia,F,55,54,25.0,11/06/2020,reg,Asia
Peru,M,30,39,1881.0,11/06/2020,reg,Asia
Tajikistan,F,85,59,649.0,11/02/2020,reg,North America
Costa Rica,M,70,74,861.0,16/09/2020,reg,Europe
Armenia,F,60,4,3349.0,11/06/2020,reg,Asia
Costa Rica,F,60,29,0.0,01/07/2020,reg,Asia
Liechtenstein,M,60,1,2114.0,15/09/2020,reg,North America
Armenia,F,0,49,2.0,11/06/2020,reg,Africa
Austria,M,45,110,2636.0,11/06/2020,nat,Europe
Romania,M,65,110,0.0,11/02/2020,reg,North America
South Korea,M,15,39,4369.0,11/06/2020,reg,Africa
Philippines,M,40,39,18.0,07/09/2020,reg,South America
South Korea,M,35,39,1.0,20/09/2020,reg,Europe
Moldova,F,50,9,83.0,11/06/2020,reg,Europe
Venezuela,F,20,54,0.0,18/09/2020,nat,Asia
Brazil,F,65,24,5348.0,11/06/2020,reg,Europe
Venezuela,M,30,54,11.0,11/06/2020,reg,Asia
Venezuela,F,85,9,0.0,16/09/2020,nat,Asia
Spain,M,50,89,634.0,27/07/2020,reg,Asia
Bosnia & Herzegovina,M,5,39,46.0,11/06/2020,reg,South America
Jordan,M,10,29,487.0,04/07/2020,reg,Europe
Slovakia,F,20,44,0.0,19/09/2020,reg,North America
South Korea,M,50,49,0.0,19/09/2020,reg,North America
Iran,M,80,29,70.0,11/02/2020,nat,Europe
Moldova,B,85,19,13.0,18/09/2020,reg,Europe
Peru,M,0,24,90.0,13/09/2020,reg,Europe
Spain,M,80,19,856.0,11/06/2020,reg,Africa
Cuba,M,0,59,52.0,30/06/2020,reg,Europe
Latvia,M,25,19,5.0,11/06/2020,reg,North America
Slovakia,F,10,54,2655.0,18/09/2020,nat,Europe
Bosnia & Herzegovina,M,5,9,1.0,30/06/2020,reg,Asia
Kazakhstan,F,50,44,2.0,21/05/2020,reg,Africa
Latvia,F,80,19,718.0,18/09/2020,reg,Africa
Thailand,F,60,49,1.0,04/07/2020,reg,Asia
Georgia,M,55,89,3.0,16/09/2020,reg,North America
Portugal,M,18,110,587.0,04/07/2020,reg,Europe
Slovenia,M,80,64,109.0,18/09/2020,reg,Europe
Moldova,F,60,79,42.0,19/09/2020,reg,Africa
Finland,M,55,29,3493.0,18/09/2020,nat,North America
Pakistan,M,70,4,230.0,11/06/2020,reg,Europe
Cyprus,M,65,39,121.0,20/09/2020,nat,Asia
Egypt,F,0,49,665.0,20/09/2020,reg,North America
Lebanon,M,5,69,3.0,19/09/2020,nat,Europe
Peru,M,30,79,5.0,20/09/2020,nat,North America
Slovenia,M,65,34,41.0,18/09/2020,reg,Europe
Jordan,F,55,17,4.0,07/09/2020,reg,Asia
Romania,M,10,34,62.0,29/05/2020,reg,Europe
Liechtenstein,M,35,69,7.0,20/09/2020,reg,Europe
Bosnia & Herzegovina,F,85,79,193.0,27/07/2020,reg,Europe
Iran,F,0,69,569.0,15/09/2020,reg,Asia
Australia,M,95,89,2436.0,18/09/2020,reg,North America
