REP_COUNTRY,Date,WEEK_AUTO,NEW_CONF_CASES,NEW_PROB_CASES,NEW_CONF_DEATHS,NEW_PROB_DEATHS,NEW_CONF_PROB_HOSPITALIZED,NEW_CONF_PROB_DISCHARGED,NEW_CONF_PROB_HCW_CASES,NEW_CONF_PROB_HCW_DEATHS,TESTED,TESTED_PCR,TRANS_CLASS,NEW_CASES_CONF_PROB_0-4_F,NEW_CASES_CONF_PROB_0-4_M,NEW_CASES_CONF_PROB_5-9_F,NEW_CASES_CONF_PROB_5-9_M,NEW_CASES_CONF_PROB_10-14_F,NEW_CASES_CONF_PROB_10-14_M,NEW_CASES_CONF_PROB_15-19_F,NEW_CASES_CONF_PROB_15-19_M,NEW_CASES_CONF_PROB_20-29_F,NEW_CASES_CONF_PROB_20-29_M,NEW_CASES_CONF_PROB_30-39_F,NEW_CASES_CONF_PROB_30-39_M,NEW_CASES_CONF_PROB_40-49_F,NEW_CASES_CONF_PROB_40-49_M,NEW_CASES_CONF_PROB_50-59_F,NEW_CASES_CONF_PROB_50-59_M,NEW_CASES_CONF_PROB_60-64_F,NEW_CASES_CONF_PROB_60-64_M,NEW_CASES_CONF_PROB_65-69_F,NEW_CASES_CONF_PROB_65-69_M,NEW_CASES_CONF_PROB_70-74_F,NEW_CASES_CONF_PROB_70-74_M,NEW_CASES_CONF_PROB_75-79_F,NEW_CASES_CONF_PROB_75-79_M,NEW_CASES_CONF_PROB_80PLUS_F,NEW_CASES_CONF_PROB_80PLUS_M,NEW_CASES_CONF_PROB_UNK_AGE_F,NEW_CASES_CONF_PROB_UNK_AGE_M,NEW_CASES_CONF_PROB_UNK_AGE_UNK_GENDER,NEW_DEATHS_CONF_PROB_0-4_F,NEW_DEATHS_CONF_PROB_0-4_M,NEW_DEATHS_CONF_PROB_5-9_F,NEW_DEATHS_CONF_PROB_5-9_M,NEW_DEATHS_CONF_PROB_10-14_F,NEW_DEATHS_CONF_PROB_10-14_M,NEW_DEATHS_CONF_PROB_15-19_F,NEW_DEATHS_CONF_PROB_15-19_M,NEW_DEATHS_CONF_PROB_20-29_F,NEW_DEATHS_CONF_PROB_20-29_M,NEW_DEATHS_CONF_PROB_30-39_F,NEW_DEATHS_CONF_PROB_30-39_M,NEW_DEATHS_CONF_PROB_40-49_F,NEW_DEATHS_CONF_PROB_40-49_M,NEW_DEATHS_CONF_PROB_50-59_F,NEW_DEATHS_CONF_PROB_50-59_M,NEW_DEATHS_CONF_PROB_60-64_F,NEW_DEATHS_CONF_PROB_60-64_M,NEW_DEATHS_CONF_PROB_65-69_F,NEW_DEATHS_CONF_PROB_65-69_M,NEW_DEATHS_CONF_PROB_70-74_F,NEW_DEATHS_CONF_PROB_70-74_M,NEW_DEATHS_CONF_PROB_75-79_F,NEW_DEATHS_CONF_PROB_75-79_M,NEW_DEATHS_CONF_PROB_80PLUS_F,NEW_DEATHS_CONF_PROB_80PLUS_M,NEW_DEATHS_CONF_PROB_UNK_AGE_F,NEW_DEATHS_CONF_PROB_UNK_AGE_M,NEW_DEATHS_CONF_PROB_UNK_AGE_UNK_GENDER
French Polynesia,2022-04-04,,541.0,,10.0,0.0,11645.0,266.0,58.0,,—,783621353（人次）,,233.0,17.0,100.0,24.0,9.0,128.0,27.0,36.0,73.0,74.0,183.0,131.0,192.0,31.0,133.0,92.0,,21.0,15.0,26.0,10.0,24.0,181.0,80.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-08-22,16.0,,5.0,,0.0,2588.0,4962.0,,,—,1080392277（人次）,CLUSTERS,22.0,,31.0,,45.0,24.0,30.0,26.0,85.0,65.0,,52.0,,139.0,,377.0,,73.0,,31.0,1.0,14.0,9.0,12.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,0.0,34.0,,0.0,0.0
Philippines,2022-06-27,6.0,5707.0,1.0,0.0,,796.0,2042.0,85.0,0.0,,1005457961（人次）,CLUSTERS,221.0,77.0,11.0,17.0,22.0,122.0,12.0,401.0,1289.0,73.0,1740.0,113.0,467.0,1587.0,690.0,23.0,22.0,334.0,26.0,15.0,7.0,95.0,11.0,6.0,1.0,117.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-02-07,31.0,4164.0,,0.0,0.0,2588.0,786.0,18.0,0.0,,1084337087（人次）,,37.0,194.0,27.0,21.0,98.0,2.0,52.0,6.0,,58.0,131.0,1319.0,34.0,108.0,50.0,73.0,51.0,24.0,7.0,228.0,32.0,41.0,146.0,8.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-04-25,40.0,2021.0,0.0,,0.0,796.0,,16.0,0.0,—,1092033195（人次）,CLUSTERS,31.0,68.0,20.0,17.0,433.0,74.0,25.0,36.0,652.0,59.0,254.0,85.0,,1991.0,104.0,22.0,16.0,149.0,40.0,57.0,107.0,27.0,13.0,,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-05-02,27.0,595.0,0.0,0.0,0.0,5712.0,445.0,16.0,0.0,,277662502（人次）,,,46.0,,24.0,2.0,7.0,80.0,6.0,36.0,128.0,131.0,230.0,91.0,,1427.0,119.0,418.0,106.0,4.0,15.0,215.0,170.0,,86.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,2022-07-11,6.0,346.0,0.0,3.0,0.0,,1861.0,10.0,0.0,,238433555（人次）,,3.0,155.0,,323.0,28.0,25.0,10.0,20.0,1289.0,76.0,1450.0,107.0,,56.0,205.0,,213.0,254.0,4.0,28.0,140.0,38.0,0.0,10.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,2022-10-17,8.0,358.0,3.0,0.0,0.0,1113.0,1866.0,170.0,0.0,—,1005457961（人次）,,3.0,77.0,6.0,58.0,25.0,36.0,30.0,12.0,171.0,39.0,1110.0,272.0,79.0,821.0,97.0,326.0,140.0,37.0,141.0,93.0,30.0,274.0,123.0,56.0,1.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-05-16,28.0,1358.0,0.0,0.0,0.0,1205.0,445.0,50.0,0.0,—,1053420024（人次）,,,66.0,20.0,5.0,25.0,11.0,256.0,80.0,,157.0,1110.0,273.0,202.0,31.0,690.0,43.0,245.0,,5.0,23.0,196.0,112.0,64.0,163.0,261.0,4.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-08-01,22.0,,2.0,0.0,0.0,4164.0,1313.0,24.0,0.0,—,1267192690（人次）,,249.0,131.0,,30.0,120.0,85.0,48.0,63.0,,61.0,1338.0,114.0,1009.0,,59.0,22.0,6.0,27.0,44.0,42.0,2.0,11.0,1.0,147.0,23.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,36.0,0.0,0.0,0.0
French Polynesia,2022-03-28,46.0,4404.0,,0.0,0.0,2443.0,445.0,8.0,,—,1106448196（人次）,CLUSTERS,,131.0,20.0,8.0,157.0,43.0,60.0,95.0,99.0,120.0,249.0,2120.0,40.0,97.0,17.0,206.0,,57.0,20.0,123.0,,24.0,17.0,5.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,4.0,2.0,0.0,0.0,0.0
French Polynesia,2022-07-11,21.0,9639.0,0.0,0.0,0.0,12308.0,739.0,,0.0,—,205771861（人次）,CLUSTERS,221.0,4.0,,17.0,,43.0,60.0,20.0,,204.0,79.0,954.0,91.0,207.0,200.0,326.0,59.0,51.0,,10.0,195.0,,4.0,163.0,155.0,42.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
Philippines,2022-06-27,13.0,1377.0,0.0,316.0,0.0,781.0,1578.0,1.0,0.0,,952314139（人次),,221.0,49.0,18.0,,1.0,,,86.0,120.0,193.0,,135.0,96.0,,16.0,43.0,33.0,149.0,286.0,434.0,107.0,24.0,18.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,23.0,4.0,102.0,0.0,0.0,0.0
